generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,19.945454545454545,25.0,1.0,1.0,1.0,5,6.493
20,1000,43.2,58.0,1.0,1.0,1.0,3,12.843
30,1000,59.81818181818182,71.0,1.0,1.0,1.0,4,18.675
40,1000,84.05454545454545,102.0,1.0,1.0,1.0,4,24.822
50,1000,103.23636363636363,129.0,1.0,1.0,1.0,3,30.993
60,1000,108.87272727272727,133.0,1.0,1.0,1.0,4,37.04
70,1000,136.96363636363637,164.0,1.0,1.0,1.0,4,43.449
80,1000,153.27272727272728,179.0,1.0,1.0,1.0,3,49.523
90,1000,165.63636363636363,201.0,1.0,1.0,1.0,4,55.578
100,1000,195.16363636363636,224.0,1.0,1.0,1.0,5,61.898
110,1000,204.27272727272728,248.0,1.0,1.0,1.0,4,68.052
120,1000,216.43636363636364,253.0,1.0,1.0,1.0,3,74.513
130,1000,249.94545454545454,306.0,1.0,1.0,1.0,3,80.421
140,1000,257.76363636363635,298.0,1.0,1.0,1.0,3,86.649
150,1000,284.6545454545454,317.0,1.0,1.0,1.0,4,93.039
160,1000,312.96363636363634,345.0,1.0,1.0,1.0,4,98.792
170,1000,318.5090909090909,360.0,1.0,1.0,1.0,4,104.82
180,1000,337.6181818181818,381.0,1.0,1.0,1.0,3,111.336
190,1000,362.8727272727273,408.0,1.0,1.0,1.0,4,117.964
200,1000,380.6909090909091,425.0,1.0,1.0,1.0,3,123.801
210,1000,353.4727272727273,448.0,1.0,1.0,1.0,3,129.841
220,1000,319.25454545454545,460.0,1.0,1.0,1.0,4,135.721
230,1000,419.3090909090909,497.0,1.0,1.0,1.0,4,142.659
240,1000,443.3636363636364,528.0,1.0,1.0,1.0,4,147.995
250,1000,426.7090909090909,513.0,1.0,1.0,1.0,4,155.04
260,1000,446.1090909090909,529.0,1.0,1.0,1.0,3,160.973
270,1000,451.3090909090909,542.0,1.0,1.0,1.0,3,167.096
280,1000,483.1272727272727,574.0,1.0,1.0,1.0,3,172.849
290,1000,509.58181818181816,608.0,1.0,1.0,1.0,4,179.332
300,1000,439.0181818181818,625.0,1.0,1.0,1.0,3,184.722
310,1000,520.2727272727273,623.0,1.0,1.0,1.0,3,191.302
320,1000,521.6,644.0,1.0,1.0,1.0,4,197.905
330,1000,561.0727272727273,671.0,1.0,1.0,1.0,4,204.269
340,1000,543.9818181818182,672.0,1.0,1.0,1.0,3,210.114
350,1000,574.3636363636364,707.0,1.0,1.0,1.0,3,216.138
360,1000,605.2545454545455,731.0,1.0,1.0,1.0,5,222.427
370,1000,558.6181818181818,744.0,1.0,1.0,1.0,4,228.503
380,1000,582.5090909090909,770.0,1.0,1.0,1.0,4,234.684
390,1000,568.2,742.0,1.0,1.0,1.0,4,240.867
400,1000,700.1636363636363,790.0,1.0,1.0,1.0,3,246.91
410,1000,652.3272727272728,801.0,1.0,1.0,1.0,3,252.942
420,1000,701.3454545454546,824.0,1.0,1.0,1.0,5,259.941
430,1000,603.2727272727273,846.0,1.0,1.0,1.0,4,265.332
440,1000,659.5818181818182,851.0,1.0,1.0,1.0,4,271.448
450,1000,666.6545454545454,853.0,1.0,1.0,1.0,4,277.05
460,1000,672.3454545454546,869.0,1.0,1.0,1.0,4,284.047
470,1000,816.6545454545454,944.0,1.0,1.0,1.0,4,289.85
480,1000,767.3636363636364,948.0,1.0,1.0,1.0,4,296.384
490,1000,773.1636363636363,934.0,1.0,1.0,1.0,4,302.336
500,1000,763.6181818181818,1003.0,1.0,1.0,1.0,4,308.289
510,1000,745.2363636363636,1022.0,1.0,1.0,1.0,4,313.864
520,1000,811.9454545454546,1029.0,1.0,1.0,1.0,3,320.821
530,1000,840.4,1059.0,1.0,1.0,1.0,4,326.846
540,1000,539.0,861.0,1.0,1.0,1.0,4,333.16
550,1000,623.1818181818181,1040.0,1.0,1.0,1.0,4,339.709
560,1000,848.6545454545454,1087.0,1.0,1.0,1.0,5,344.95
570,1000,902.8181818181819,1088.0,1.0,1.0,1.0,4,351.236
580,1000,779.8,1124.0,1.0,1.0,1.0,4,357.423
590,1000,820.8181818181819,1137.0,1.0,1.0,1.0,4,363.047
600,1000,781.6363636363636,1138.0,1.0,1.0,1.0,4,369.443
610,1000,579.2545454545455,999.0,1.0,1.0,1.0,4,375.388
620,1000,924.7272727272727,1186.0,1.0,1.0,1.0,4,382.795
630,1000,816.4909090909091,1209.0,1.0,1.0,1.0,4,389.075
640,1000,898.290909090909,1207.0,1.0,1.0,1.0,4,393.579
650,1000,836.8,1180.0,1.0,1.0,1.0,5,400.282
660,1000,860.1818181818181,1256.0,1.0,1.0,1.0,3,406.155
670,1000,983.1454545454545,1272.0,1.0,1.0,1.0,4,413.176
680,1000,742.290909090909,1298.0,1.0,1.0,1.0,4,418.721
690,1000,879.0181818181818,1323.0,1.0,1.0,1.0,4,424.685
700,1000,640.4545454545455,1266.0,1.0,1.0,1.0,4,432.246
710,1000,815.5454545454545,1275.0,1.0,1.0,1.0,4,437.101
720,1000,843.8181818181819,1198.0,1.0,1.0,1.0,3,443.839
730,1000,803.5636363636364,1311.0,1.0,1.0,1.0,3,448.871
740,1000,963.6909090909091,1389.0,1.0,1.0,1.0,4,455.643
750,1000,919.7818181818182,1240.0,1.0,1.0,1.0,3,462.018
760,1000,905.9272727272727,1248.0,1.0,1.0,1.0,4,468.306
770,1000,907.4727272727273,1376.0,1.0,1.0,1.0,4,474.447
780,1000,1019.5454545454545,1454.0,1.0,1.0,1.0,4,481.533
790,1000,1016.290909090909,1293.0,1.0,1.0,1.0,6,487.233
800,1000,1015.5818181818182,1352.0,1.0,1.0,1.0,3,493.034
810,1000,951.6545454545454,1311.0,1.0,1.0,1.0,5,499.14
820,1000,912.9636363636364,1327.0,1.0,1.0,1.0,3,504.514
830,1000,979.5636363636364,1345.0,1.0,1.0,1.0,6,511.642
840,1000,994.1636363636363,1368.0,1.0,1.0,1.0,4,518.082
850,1000,1076.9272727272728,1406.0,1.0,1.0,1.0,3,523.743
860,1000,1044.1454545454546,1545.0,1.0,1.0,1.0,5,530.48
870,1000,1066.0181818181818,1588.0,1.0,1.0,1.0,4,535.613
880,1000,1058.6727272727273,1437.0,1.0,1.0,1.0,3,541.472
890,1000,1105.3272727272727,1447.0,1.0,1.0,1.0,4,548.325
900,1000,1075.6727272727273,1499.0,1.0,1.0,1.0,3,554.775
910,1000,1086.3818181818183,1527.0,1.0,1.0,1.0,4,560.201
920,1000,1081.1636363636364,1514.0,1.0,1.0,1.0,3,566.048
930,1000,798.0181818181818,1435.0,1.0,1.0,1.0,5,572.68
940,1000,1070.290909090909,1523.0,1.0,1.0,1.0,5,578.85
950,1000,996.4181818181818,1551.0,1.0,1.0,1.0,4,584.754
960,1000,1161.4545454545455,1564.0,1.0,1.0,1.0,4,592.002
970,1000,1022.290909090909,1576.0,1.0,1.0,1.0,4,597.472
980,1000,1138.0,1596.0,1.0,1.0,1.0,4,603.228
990,1000,1244.090909090909,1616.0,1.0,1.0,1.0,3,609.687
1000,1000,1225.8181818181818,1638.0,1.0,1.0,1.0,4,615.427
1010,1000,1261.5454545454545,1637.0,1.0,1.0,1.0,3,621.393
1020,1000,1088.1090909090908,1641.0,1.0,1.0,1.0,3,627.835
1030,1000,1247.8,1673.0,1.0,1.0,1.0,3,634.036
1040,1000,1253.8727272727272,1677.0,1.0,1.0,1.0,3,639.318
1050,1000,1259.9272727272728,1701.0,1.0,1.0,1.0,4,647.361
1060,1000,1166.6181818181817,1697.0,1.0,1.0,1.0,4,652.466
1070,1000,1326.7636363636364,1721.0,1.0,1.0,1.0,6,658.365
1080,1000,1141.6363636363637,1665.0,1.0,1.0,1.0,3,664.732
1090,1000,1114.0,1709.0,1.0,1.0,1.0,4,669.919
1100,1000,1308.3636363636363,1765.0,1.0,1.0,1.0,5,676.863
1110,1000,1345.8909090909092,1776.0,1.0,1.0,1.0,3,682.785
