generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,3.4545454545454546,8.0,1.0,1.0,1.0,100,2.622
20,1000,7.2727272727272725,11.0,1.0,1.0,1.0,13,5.302
30,1000,11.709090909090909,19.0,1.0,1.0,1.0,12,8.238
40,1000,19.236363636363638,28.0,1.0,1.0,1.0,14,10.979
50,1000,24.436363636363637,33.0,1.0,1.0,1.0,10,13.893
60,1000,26.70909090909091,38.0,1.0,1.0,1.0,14,16.819
70,1000,33.74545454545454,47.0,1.0,1.0,1.0,15,19.545
80,1000,42.85454545454545,52.0,1.0,1.0,1.0,9,22.274
90,1000,40.27272727272727,52.0,1.0,1.0,1.0,11,25.111
100,1000,42.43636363636364,53.0,1.0,1.0,1.0,10,28.034
110,1000,48.654545454545456,62.0,1.0,1.0,1.0,10,30.826
120,1000,59.8,76.0,1.0,1.0,1.0,10,33.781
130,1000,60.58181818181818,78.0,1.0,1.0,1.0,12,36.645
140,1000,62.03636363636364,75.0,1.0,1.0,1.0,12,38.552
150,1000,61.54545454545455,83.0,1.0,1.0,1.0,10,41.451
160,1000,81.18181818181819,104.0,1.0,1.0,1.0,9,43.95
170,1000,79.69090909090909,109.0,1.0,1.0,1.0,6,47.041
180,1000,78.61818181818182,98.0,1.0,1.0,1.0,11,49.624
190,1000,93.41818181818182,120.0,1.0,1.0,1.0,11,52.863
200,1000,94.83636363636364,113.0,1.0,1.0,1.0,9,55.148
210,1000,102.43636363636364,127.0,1.0,1.0,1.0,13,58.513
220,1000,99.65454545454546,119.0,1.0,1.0,1.0,7,61.264
230,1000,102.05454545454545,131.0,1.0,1.0,1.0,10,64.158
240,1000,97.03636363636363,126.0,1.0,1.0,1.0,11,66.703
250,1000,122.96363636363637,155.0,1.0,1.0,1.0,10,69.915
260,1000,114.83636363636364,139.0,1.0,1.0,1.0,10,73.279
270,1000,119.81818181818181,146.0,1.0,1.0,1.0,8,74.823
280,1000,109.23636363636363,151.0,1.0,1.0,1.0,10,77.878
290,1000,128.61818181818182,164.0,1.0,1.0,1.0,9,80.999
300,1000,121.4,167.0,1.0,1.0,1.0,12,83.623
310,1000,127.58181818181818,169.0,1.0,1.0,1.0,12,86.924
320,1000,111.45454545454545,167.0,1.0,1.0,1.0,10,89.035
330,1000,128.23636363636365,173.0,1.0,1.0,1.0,17,91.344
340,1000,144.27272727272728,189.0,1.0,1.0,1.0,14,93.998
350,1000,146.34545454545454,193.0,1.0,1.0,1.0,20,97.116
360,1000,137.47272727272727,184.0,1.0,1.0,1.0,14,100.451
370,1000,145.25454545454545,185.0,1.0,1.0,1.0,7,101.421
