generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,20.181818181818183,29.0,1.0,1.0,1.0,3,6.482
20,1000,40.472727272727276,58.0,1.0,1.0,1.0,4,12.87
30,1000,61.236363636363635,75.0,1.0,1.0,1.0,4,19.003
40,1000,82.69090909090909,94.0,1.0,1.0,1.0,3,25.177
50,1000,103.43636363636364,124.0,1.0,1.0,1.0,3,31.418
60,1000,118.81818181818181,140.0,1.0,1.0,1.0,3,37.663
70,1000,141.27272727272728,168.0,1.0,1.0,1.0,3,43.851
80,1000,140.36363636363637,178.0,1.0,1.0,1.0,3,50.135
90,1000,167.6909090909091,202.0,1.0,1.0,1.0,3,56.195
100,1000,181.63636363636363,229.0,1.0,1.0,1.0,3,62.136
110,1000,208.1818181818182,244.0,1.0,1.0,1.0,3,68.589
120,1000,211.96363636363637,259.0,1.0,1.0,1.0,4,74.889
130,1000,238.6909090909091,279.0,1.0,1.0,1.0,4,80.791
140,1000,255.29090909090908,306.0,1.0,1.0,1.0,5,87.017
150,1000,286.3636363636364,326.0,1.0,1.0,1.0,4,93.238
160,1000,292.1090909090909,335.0,1.0,1.0,1.0,4,99.939
170,1000,326.72727272727275,365.0,1.0,1.0,1.0,3,106.063
180,1000,317.3272727272727,367.0,1.0,1.0,1.0,4,112.388
190,1000,345.0,385.0,1.0,1.0,1.0,4,118.862
200,1000,357.1818181818182,423.0,1.0,1.0,1.0,5,124.802
210,1000,365.3272727272727,427.0,1.0,1.0,1.0,3,131.25
220,1000,378.1818181818182,453.0,1.0,1.0,1.0,4,137.36
230,1000,374.27272727272725,458.0,1.0,1.0,1.0,3,143.463
240,1000,396.2,497.0,1.0,1.0,1.0,4,149.98
250,1000,403.1272727272727,499.0,1.0,1.0,1.0,4,155.992
260,1000,460.09090909090907,532.0,1.0,1.0,1.0,5,162.275
270,1000,447.6181818181818,544.0,1.0,1.0,1.0,3,168.687
280,1000,467.6181818181818,571.0,1.0,1.0,1.0,5,174.157
290,1000,465.58181818181816,574.0,1.0,1.0,1.0,5,180.861
300,1000,483.3636363636364,597.0,1.0,1.0,1.0,3,187.672
310,1000,496.1272727272727,597.0,1.0,1.0,1.0,5,192.984
320,1000,502.8363636363636,629.0,1.0,1.0,1.0,5,199.576
330,1000,523.1272727272727,657.0,1.0,1.0,1.0,3,205.525
340,1000,539.6,663.0,1.0,1.0,1.0,5,211.883
350,1000,541.1090909090909,688.0,1.0,1.0,1.0,5,218.084
360,1000,499.8909090909091,678.0,1.0,1.0,1.0,5,224.628
370,1000,595.0545454545454,724.0,1.0,1.0,1.0,4,230.841
380,1000,610.9090909090909,735.0,1.0,1.0,1.0,5,237.241
390,1000,635.7636363636364,782.0,1.0,1.0,1.0,5,243.7
400,1000,571.9272727272727,759.0,1.0,1.0,1.0,3,249.654
410,1000,666.3636363636364,804.0,1.0,1.0,1.0,4,255.896
420,1000,589.0909090909091,807.0,1.0,1.0,1.0,3,262.23
430,1000,642.0909090909091,816.0,1.0,1.0,1.0,3,268.069
440,1000,615.6545454545454,807.0,1.0,1.0,1.0,4,274.546
450,1000,703.1818181818181,860.0,1.0,1.0,1.0,3,280.46
460,1000,687.7818181818182,898.0,1.0,1.0,1.0,4,285.681
470,1000,683.1818181818181,898.0,1.0,1.0,1.0,3,292.229
480,1000,623.4181818181818,911.0,1.0,1.0,1.0,4,298.467
490,1000,463.8,896.0,1.0,1.0,1.0,4,305.278
500,1000,599.0181818181818,814.0,1.0,1.0,1.0,3,310.556
510,1000,638.8909090909091,922.0,1.0,1.0,1.0,3,316.448
520,1000,681.290909090909,996.0,1.0,1.0,1.0,3,323.139
530,1000,692.3090909090909,991.0,1.0,1.0,1.0,5,329.988
540,1000,746.709090909091,968.0,1.0,1.0,1.0,4,335.744
550,1000,735.709090909091,1019.0,1.0,1.0,1.0,4,341.802
560,1000,826.4727272727273,1031.0,1.0,1.0,1.0,3,346.347
570,1000,723.4545454545455,1026.0,1.0,1.0,1.0,3,354.431
580,1000,806.6909090909091,1064.0,1.0,1.0,1.0,4,359.098
590,1000,748.5454545454545,1074.0,1.0,1.0,1.0,4,366.735
600,1000,754.2363636363636,1083.0,1.0,1.0,1.0,3,372.415
610,1000,897.0181818181818,1123.0,1.0,1.0,1.0,4,378.797
620,1000,847.2727272727273,1129.0,1.0,1.0,1.0,3,385.831
630,1000,889.2545454545455,1138.0,1.0,1.0,1.0,4,391.422
640,1000,812.8545454545455,1162.0,1.0,1.0,1.0,3,396.426
650,1000,891.2,1170.0,1.0,1.0,1.0,4,402.416
660,1000,989.6909090909091,1205.0,1.0,1.0,1.0,4,408.283
670,1000,917.9636363636364,1195.0,1.0,1.0,1.0,4,414.33
680,1000,899.5090909090909,1235.0,1.0,1.0,1.0,4,420.085
690,1000,1006.5272727272727,1233.0,1.0,1.0,1.0,4,427.376
700,1000,874.5272727272727,1237.0,1.0,1.0,1.0,4,433.98
710,1000,921.9090909090909,1260.0,1.0,1.0,1.0,4,440.474
720,1000,891.7636363636364,1285.0,1.0,1.0,1.0,4,445.62
730,1000,957.2545454545455,1302.0,1.0,1.0,1.0,3,453.415
740,1000,742.4545454545455,1318.0,1.0,1.0,1.0,4,456.599
750,1000,909.4,1184.0,1.0,1.0,1.0,3,464.704
760,1000,1019.8909090909091,1358.0,1.0,1.0,1.0,5,468.857
770,1000,877.8727272727273,1374.0,1.0,1.0,1.0,4,476.407
780,1000,1082.6,1370.0,1.0,1.0,1.0,3,482.501
790,1000,936.8181818181819,1412.0,1.0,1.0,1.0,3,487.95
800,1000,996.8909090909091,1401.0,1.0,1.0,1.0,7,493.499
810,1000,1015.8545454545455,1446.0,1.0,1.0,1.0,4,501.787
820,1000,747.9272727272727,1425.0,1.0,1.0,1.0,4,506.32
830,1000,1056.4,1439.0,1.0,1.0,1.0,4,513.059
840,1000,681.9272727272727,1467.0,1.0,1.0,1.0,4,520.066
850,1000,779.6909090909091,1354.0,1.0,1.0,1.0,4,524.014
860,1000,1089.8363636363636,1510.0,1.0,1.0,1.0,4,531.779
870,1000,1107.9636363636364,1537.0,1.0,1.0,1.0,4,538.63
880,1000,1143.8545454545454,1533.0,1.0,1.0,1.0,4,543.993
890,1000,1112.2363636363636,1579.0,1.0,1.0,1.0,4,549.908
900,1000,968.5090909090909,1587.0,1.0,1.0,1.0,4,555.033
