generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,6.363636363636363,9.0,1.0,1.0,1.0,68,2.721
20,1000,10.909090909090908,18.0,1.0,1.0,1.0,12,5.432
30,1000,16.181818181818183,28.0,1.0,1.0,1.0,9,8.375
40,1000,21.818181818181817,34.0,1.0,1.0,1.0,10,11.02
50,1000,22.363636363636363,31.0,1.0,1.0,1.0,8,13.93
60,1000,27.854545454545455,39.0,1.0,1.0,1.0,9,17.058
70,1000,34.63636363636363,45.0,1.0,1.0,1.0,10,19.547
80,1000,37.27272727272727,45.0,1.0,1.0,1.0,8,22.35
90,1000,42.836363636363636,57.0,1.0,1.0,1.0,8,25.394
100,1000,37.236363636363635,48.0,1.0,1.0,1.0,10,28.073
110,1000,48.054545454545455,61.0,1.0,1.0,1.0,12,31.006
120,1000,52.0,72.0,1.0,1.0,1.0,14,34.139
130,1000,54.03636363636364,71.0,1.0,1.0,1.0,10,36.863
140,1000,62.836363636363636,82.0,1.0,1.0,1.0,12,39.348
150,1000,62.61818181818182,88.0,1.0,1.0,1.0,10,42.594
160,1000,60.07272727272727,76.0,1.0,1.0,1.0,10,45.717
170,1000,69.43636363636364,100.0,1.0,1.0,1.0,9,48.504
180,1000,74.43636363636364,93.0,1.0,1.0,1.0,10,50.658
190,1000,78.67272727272727,95.0,1.0,1.0,1.0,11,53.373
200,1000,85.87272727272727,109.0,1.0,1.0,1.0,9,56.355
210,1000,78.38181818181818,113.0,1.0,1.0,1.0,11,59.703
220,1000,88.61818181818182,113.0,1.0,1.0,1.0,11,62.303
230,1000,101.16363636363636,131.0,1.0,1.0,1.0,9,65.092
240,1000,104.89090909090909,129.0,1.0,1.0,1.0,14,67.789
250,1000,105.0909090909091,126.0,1.0,1.0,1.0,10,70.387
260,1000,112.2909090909091,141.0,1.0,1.0,1.0,9,72.628
270,1000,110.32727272727273,134.0,1.0,1.0,1.0,9,76.398
280,1000,112.92727272727272,154.0,1.0,1.0,1.0,11,78.461
290,1000,123.72727272727273,155.0,1.0,1.0,1.0,14,81.765
300,1000,123.18181818181819,151.0,1.0,1.0,1.0,10,84.99
310,1000,135.76363636363635,167.0,1.0,1.0,1.0,12,86.672
320,1000,130.72727272727272,163.0,1.0,1.0,1.0,9,89.911
330,1000,133.8909090909091,165.0,1.0,1.0,1.0,11,92.378
340,1000,138.87272727272727,180.0,1.0,1.0,1.0,10,95.216
350,1000,130.3272727272727,190.0,1.0,1.0,1.0,9,97.843
360,1000,142.3090909090909,173.0,1.0,1.0,1.0,11,100.673
370,1000,143.3272727272727,182.0,1.0,1.0,1.0,11,103.341
380,1000,149.9090909090909,190.0,1.0,1.0,1.0,14,106.854
390,1000,154.5818181818182,194.0,1.0,1.0,1.0,10,109.781
400,1000,160.4181818181818,196.0,1.0,1.0,1.0,9,112.156
410,1000,159.34545454545454,196.0,1.0,1.0,1.0,10,115.24
420,1000,156.3272727272727,189.0,1.0,1.0,1.0,13,117.592
430,1000,178.8909090909091,230.0,1.0,1.0,1.0,9,120.749
440,1000,159.47272727272727,228.0,1.0,1.0,1.0,10,122.906
450,1000,187.16363636363636,223.0,1.0,1.0,1.0,11,126.452
460,1000,177.34545454545454,227.0,1.0,1.0,1.0,12,129.645
470,1000,175.8181818181818,229.0,1.0,1.0,1.0,7,132.017
480,1000,182.4,232.0,1.0,1.0,1.0,9,134.275
490,1000,172.8181818181818,229.0,1.0,1.0,1.0,9,137.097
500,1000,178.03636363636363,230.0,1.0,1.0,1.0,10,139.703
510,1000,177.3090909090909,234.0,1.0,1.0,1.0,10,142.733
520,1000,198.27272727272728,244.0,1.0,1.0,1.0,7,145.349
530,1000,188.78181818181818,245.0,1.0,1.0,1.0,9,147.887
540,1000,193.25454545454545,246.0,1.0,1.0,1.0,11,151.046
550,1000,195.07272727272726,253.0,1.0,1.0,1.0,10,154.113
560,1000,210.78181818181818,275.0,1.0,1.0,1.0,12,157.121
570,1000,208.5090909090909,268.0,1.0,1.0,1.0,13,159.612
580,1000,214.6,295.0,1.0,1.0,1.0,10,161.632
590,1000,215.05454545454546,285.0,1.0,1.0,1.0,12,166.185
600,1000,230.38181818181818,274.0,1.0,1.0,1.0,10,168.02
610,1000,229.25454545454545,290.0,1.0,1.0,1.0,9,171.395
620,1000,209.27272727272728,302.0,1.0,1.0,1.0,8,172.755
630,1000,235.07272727272726,294.0,1.0,1.0,1.0,11,176.011
640,1000,213.29090909090908,308.0,1.0,1.0,1.0,13,178.26
650,1000,248.92727272727274,305.0,1.0,1.0,1.0,10,182.195
660,1000,254.38181818181818,309.0,1.0,1.0,1.0,12,184.902
670,1000,264.54545454545456,311.0,1.0,1.0,1.0,12,187.402
680,1000,236.8909090909091,317.0,1.0,1.0,1.0,8,190.657
690,1000,134.0,323.0,1.0,1.0,1.0,11,193.433
700,1000,230.05454545454546,318.0,1.0,1.0,1.0,8,196.675
710,1000,260.4727272727273,340.0,1.0,1.0,1.0,11,199.799
720,1000,256.92727272727274,340.0,1.0,1.0,1.0,8,202.063
730,1000,259.8363636363636,340.0,1.0,1.0,1.0,9,203.516
740,1000,186.76363636363635,331.0,1.0,1.0,1.0,11,207.786
750,1000,234.61818181818182,352.0,1.0,1.0,1.0,10,209.598
760,1000,289.54545454545456,364.0,1.0,1.0,1.0,10,212.008
770,1000,245.92727272727274,376.0,1.0,1.0,1.0,10,213.851
780,1000,291.6,378.0,1.0,1.0,1.0,10,216.231
790,1000,254.0,371.0,1.0,1.0,1.0,13,220.688
800,1000,256.03636363636366,382.0,1.0,1.0,1.0,9,223.941
810,1000,239.03636363636363,388.0,1.0,1.0,1.0,9,226.224
820,1000,242.45454545454547,385.0,1.0,1.0,1.0,16,228.656
830,1000,290.03636363636366,396.0,1.0,1.0,1.0,13,229.825
840,1000,219.3272727272727,419.0,1.0,1.0,1.0,11,233.587
850,1000,188.21818181818182,399.0,1.0,1.0,1.0,12,236.392
860,1000,278.2181818181818,417.0,1.0,1.0,1.0,9,238.347
870,1000,299.27272727272725,418.0,1.0,1.0,1.0,7,243.412
880,1000,233.83636363636364,417.0,1.0,1.0,1.0,11,243.54
890,1000,311.74545454545455,447.0,1.0,1.0,1.0,11,248.25
900,1000,259.3454545454546,425.0,1.0,1.0,1.0,10,252.254
910,1000,321.6363636363636,449.0,1.0,1.0,1.0,8,255.052
920,1000,298.6,437.0,1.0,1.0,1.0,10,257.936
930,1000,287.8727272727273,437.0,1.0,1.0,1.0,8,259.877
940,1000,354.92727272727274,451.0,1.0,1.0,1.0,9,263.183
950,1000,343.3636363636364,452.0,1.0,1.0,1.0,10,263.613
960,1000,325.0,463.0,1.0,1.0,1.0,12,267.713
970,1000,333.6545454545454,453.0,1.0,1.0,1.0,9,270.401
980,1000,364.6727272727273,469.0,1.0,1.0,1.0,10,273.362
990,1000,346.2,471.0,1.0,1.0,1.0,9,276.435
1000,1000,347.74545454545455,474.0,1.0,1.0,1.0,11,278.489
1010,1000,374.4,483.0,1.0,1.0,1.0,10,281.255
1020,1000,298.4727272727273,479.0,1.0,1.0,1.0,9,284.171
1030,1000,344.0181818181818,490.0,1.0,1.0,1.0,9,286.228
1040,1000,370.03636363636366,488.0,1.0,1.0,1.0,9,287.979
1050,1000,232.92727272727274,482.0,1.0,1.0,1.0,11,294.644
1060,1000,389.7818181818182,509.0,1.0,1.0,1.0,10,295.23
1070,1000,365.0181818181818,508.0,1.0,1.0,1.0,14,298.407
1080,1000,330.6545454545454,487.0,1.0,1.0,1.0,11,299.817
1090,1000,246.43636363636364,439.0,1.0,1.0,1.0,11,302.851
1100,1000,278.58181818181816,485.0,1.0,1.0,1.0,13,305.107
1110,1000,289.56363636363636,513.0,1.0,1.0,1.0,12,308.862
1120,1000,302.96363636363634,513.0,1.0,1.0,1.0,9,310.485
1130,1000,362.6909090909091,528.0,1.0,1.0,1.0,10,314.186
1140,1000,270.41818181818184,443.0,1.0,1.0,1.0,8,317.289
1150,1000,318.0,531.0,1.0,1.0,1.0,16,320.818
1160,1000,400.45454545454544,544.0,1.0,1.0,1.0,12,323.515
1170,1000,290.07272727272726,456.0,1.0,1.0,1.0,10,324.768
1180,1000,369.6545454545454,549.0,1.0,1.0,1.0,10,324.137
1190,1000,316.3272727272727,468.0,1.0,1.0,1.0,10,329.469
1200,1000,304.2909090909091,558.0,1.0,1.0,1.0,9,329.958
1210,1000,319.3636363636364,479.0,1.0,1.0,1.0,14,336.177
1220,1000,329.0,485.0,1.0,1.0,1.0,10,339.166
1230,1000,296.7090909090909,494.0,1.0,1.0,1.0,10,341.961
1240,1000,339.6545454545454,492.0,1.0,1.0,1.0,10,343.69
1250,1000,334.3272727272727,578.0,1.0,1.0,1.0,10,348.077
1260,1000,354.8545454545455,519.0,1.0,1.0,1.0,11,346.278
1270,1000,368.07272727272726,517.0,1.0,1.0,1.0,11,352.088
1280,1000,366.25454545454545,538.0,1.0,1.0,1.0,7,352.649
1290,1000,323.6727272727273,482.0,1.0,1.0,1.0,16,356.828
1300,1000,397.45454545454544,603.0,1.0,1.0,1.0,11,359.199
1310,1000,366.8363636363636,532.0,1.0,1.0,1.0,11,360.216
1320,1000,404.1090909090909,615.0,1.0,1.0,1.0,8,364.547
1330,1000,390.4909090909091,615.0,1.0,1.0,1.0,8,362.318
1340,1000,377.74545454545455,533.0,1.0,1.0,1.0,10,368.595
1350,1000,381.74545454545455,548.0,1.0,1.0,1.0,10,373.221
1360,1000,354.6727272727273,543.0,1.0,1.0,1.0,11,375.56
1370,1000,403.6727272727273,549.0,1.0,1.0,1.0,9,377.802
1380,1000,389.27272727272725,628.0,1.0,1.0,1.0,10,381.241
1390,1000,330.1454545454545,511.0,1.0,1.0,1.0,20,381.847
1400,1000,438.54545454545456,650.0,1.0,1.0,1.0,17,383.912
1410,1000,375.3090909090909,566.0,1.0,1.0,1.0,12,391.476
1420,1000,395.74545454545455,586.0,1.0,1.0,1.0,10,394.714
1430,1000,427.1818181818182,663.0,1.0,1.0,1.0,13,393.953
1440,1000,419.2,656.0,1.0,1.0,1.0,10,396.777
1450,1000,279.92727272727274,595.0,1.0,1.0,1.0,8,397.239
1460,1000,384.72727272727275,643.0,1.0,1.0,1.0,11,403.479
1470,1000,350.6545454545454,625.0,1.0,1.0,1.0,11,405.604
1480,1000,404.5272727272727,683.0,1.0,1.0,1.0,13,408.47
1490,1000,413.76363636363635,682.0,1.0,1.0,1.0,16,411.16
1500,1000,393.54545454545456,633.0,1.0,1.0,1.0,8,413.492
1510,1000,372.58181818181816,605.0,1.0,1.0,1.0,12,417.221
1520,1000,396.5090909090909,638.0,1.0,1.0,1.0,10,421.944
1530,1000,418.8727272727273,624.0,1.0,1.0,1.0,10,422.279
1540,1000,434.8727272727273,654.0,1.0,1.0,1.0,13,424.052
1550,1000,419.8727272727273,653.0,1.0,1.0,1.0,13,424.634
1560,1000,283.23636363636365,650.0,1.0,1.0,1.0,14,430.163
1570,1000,425.7818181818182,655.0,1.0,1.0,1.0,9,431.192
1580,1000,421.8727272727273,668.0,1.0,1.0,1.0,14,433.709
1590,1000,435.8727272727273,666.0,1.0,1.0,1.0,11,438.739
1600,1000,396.96363636363634,654.0,1.0,1.0,1.0,9,441.817
1610,1000,301.7818181818182,657.0,1.0,1.0,1.0,10,446.981
1620,1000,393.90909090909093,657.0,1.0,1.0,1.0,12,446.13
1630,1000,380.96363636363634,696.0,1.0,1.0,1.0,8,451.203
1640,1000,428.05454545454546,671.0,1.0,1.0,1.0,10,452.995
1650,1000,403.1272727272727,655.0,1.0,1.0,1.0,13,456.857
1660,1000,360.6909090909091,686.0,1.0,1.0,1.0,8,460.223
1670,1000,448.6545454545454,716.0,1.0,1.0,1.0,10,460.261
1680,1000,472.4,724.0,1.0,1.0,1.0,12,461.887
1690,1000,425.56363636363636,714.0,1.0,1.0,1.0,13,467.555
1700,1000,460.8363636363636,705.0,1.0,1.0,1.0,9,468.797
1710,1000,489.41818181818184,738.0,1.0,1.0,1.0,9,471.307
1720,1000,449.2909090909091,740.0,1.0,1.0,1.0,9,475.135
