generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,40.527272727272724,52.0,1.0,1.0,1.0,2,10.984
20,1000,69.78181818181818,95.0,1.0,1.0,1.0,2,21.683
30,1000,116.67272727272727,138.0,1.0,1.0,1.0,2,32.26
40,1000,140.96363636363637,172.0,1.0,1.0,1.0,3,42.864
50,1000,197.0,225.0,1.0,1.0,1.0,3,53.433
60,1000,224.9090909090909,280.0,1.0,1.0,1.0,2,64.207
70,1000,274.41818181818184,323.0,1.0,1.0,1.0,2,74.741
80,1000,280.6181818181818,320.0,1.0,1.0,1.0,2,84.903
90,1000,335.74545454545455,383.0,1.0,1.0,1.0,2,95.558
100,1000,358.58181818181816,417.0,1.0,1.0,1.0,2,106.082
110,1000,413.58181818181816,485.0,1.0,1.0,1.0,3,116.744
120,1000,431.8,516.0,1.0,1.0,1.0,3,127.446
130,1000,455.7090909090909,542.0,1.0,1.0,1.0,3,138.027
140,1000,494.58181818181816,545.0,1.0,1.0,1.0,2,148.503
150,1000,545.8727272727273,616.0,1.0,1.0,1.0,2,158.819
160,1000,576.5818181818182,660.0,1.0,1.0,1.0,3,169.674
170,1000,635.2,721.0,1.0,1.0,1.0,2,180.396
180,1000,593.5090909090909,760.0,1.0,1.0,1.0,2,190.791
190,1000,649.8909090909091,775.0,1.0,1.0,1.0,2,201.755
200,1000,679.7454545454545,788.0,1.0,1.0,1.0,3,211.485
210,1000,724.5454545454545,831.0,1.0,1.0,1.0,2,222.132
220,1000,779.3090909090909,867.0,1.0,1.0,1.0,2,232.489
230,1000,733.7636363636364,934.0,1.0,1.0,1.0,3,243.103
240,1000,780.3272727272728,950.0,1.0,1.0,1.0,2,254.241
250,1000,832.7272727272727,961.0,1.0,1.0,1.0,2,265.227
260,1000,819.4363636363636,999.0,1.0,1.0,1.0,3,275.59
270,1000,889.4181818181818,1051.0,1.0,1.0,1.0,2,285.49
280,1000,946.2727272727273,1098.0,1.0,1.0,1.0,2,296.382
290,1000,932.8909090909091,1144.0,1.0,1.0,1.0,3,306.534
300,1000,1001.5272727272727,1174.0,1.0,1.0,1.0,3,316.581
310,1000,949.8181818181819,1197.0,1.0,1.0,1.0,3,328.301
320,1000,948.7272727272727,1229.0,1.0,1.0,1.0,2,338.374
330,1000,1069.8909090909092,1245.0,1.0,1.0,1.0,2,349.637
340,1000,1057.509090909091,1281.0,1.0,1.0,1.0,2,359.176
350,1000,927.7454545454545,1320.0,1.0,1.0,1.0,2,370.045
360,1000,1067.2545454545455,1326.0,1.0,1.0,1.0,2,380.322
370,1000,1103.1818181818182,1377.0,1.0,1.0,1.0,2,390.828
380,1000,1067.5636363636363,1410.0,1.0,1.0,1.0,3,402.323
390,1000,1087.6727272727273,1427.0,1.0,1.0,1.0,3,412.006
400,1000,998.5454545454545,1438.0,1.0,1.0,1.0,3,422.647
410,1000,1212.8727272727272,1497.0,1.0,1.0,1.0,3,432.22
420,1000,1159.3636363636363,1525.0,1.0,1.0,1.0,2,443.161
430,1000,1226.581818181818,1556.0,1.0,1.0,1.0,2,454.545
440,1000,1132.7636363636364,1538.0,1.0,1.0,1.0,2,464.296
450,1000,1226.9454545454546,1609.0,1.0,1.0,1.0,2,475.002
460,1000,1309.8909090909092,1645.0,1.0,1.0,1.0,2,485.564
470,1000,1150.2363636363636,1677.0,1.0,1.0,1.0,2,496.004
480,1000,1314.6181818181817,1714.0,1.0,1.0,1.0,2,506.908
490,1000,1205.581818181818,1684.0,1.0,1.0,1.0,2,516.898
500,1000,1307.3454545454545,1771.0,1.0,1.0,1.0,2,526.973
510,1000,1355.0363636363636,1757.0,1.0,1.0,1.0,2,537.708
520,1000,1321.6363636363637,1747.0,1.0,1.0,1.0,3,549.554
530,1000,1508.8727272727272,1848.0,1.0,1.0,1.0,2,559.802
540,1000,1554.7636363636364,1903.0,1.0,1.0,1.0,2,570.637
550,1000,1308.909090909091,1893.0,1.0,1.0,1.0,2,581.156
560,1000,1526.6181818181817,1880.0,1.0,1.0,1.0,2,591.828
570,1000,1509.909090909091,1957.0,1.0,1.0,1.0,3,601.363
580,1000,1367.5636363636363,2005.0,1.0,1.0,1.0,2,611.35
590,1000,1643.090909090909,2021.0,1.0,1.0,1.0,2,623.11
600,1000,1608.3454545454545,2044.0,1.0,1.0,1.0,2,633.378
610,1000,1654.709090909091,2063.0,1.0,1.0,1.0,2,643.889
620,1000,1624.0545454545454,2059.0,1.0,1.0,1.0,2,653.625
630,1000,1680.6363636363637,2127.0,1.0,1.0,1.0,3,664.741
640,1000,1669.3636363636363,2150.0,1.0,1.0,1.0,2,675.278
650,1000,1535.2545454545455,2179.0,1.0,1.0,1.0,2,685.771
660,1000,1670.0,2165.0,1.0,1.0,1.0,3,696.333
670,1000,1670.8545454545454,2209.0,1.0,1.0,1.0,2,707.962
680,1000,1687.7636363636364,2244.0,1.0,1.0,1.0,2,717.712
690,1000,1878.9454545454546,2241.0,1.0,1.0,1.0,3,727.478
700,1000,1819.909090909091,2297.0,1.0,1.0,1.0,3,738.043
710,1000,1715.5454545454545,2334.0,1.0,1.0,1.0,3,749.517
720,1000,1929.8181818181818,2356.0,1.0,1.0,1.0,2,759.091
730,1000,1753.7636363636364,2377.0,1.0,1.0,1.0,2,770.596
740,1000,1887.2,2373.0,1.0,1.0,1.0,3,781.725
750,1000,1928.090909090909,2371.0,1.0,1.0,1.0,2,791.664
760,1000,1856.509090909091,2458.0,1.0,1.0,1.0,3,801.753
770,1000,1993.3454545454545,2478.0,1.0,1.0,1.0,2,812.712
780,1000,1942.9636363636364,2487.0,1.0,1.0,1.0,2,823.446
790,1000,1964.3272727272727,2486.0,1.0,1.0,1.0,2,833.281
800,1000,1984.1818181818182,2503.0,1.0,1.0,1.0,2,844.8
810,1000,1539.8545454545454,2568.0,1.0,1.0,1.0,3,856.221
820,1000,2042.6545454545455,2545.0,1.0,1.0,1.0,2,865.854
830,1000,1426.6181818181817,2540.0,1.0,1.0,1.0,2,875.584
840,1000,1606.6363636363637,2609.0,1.0,1.0,1.0,2,887.145
