generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,39.0,51.0,1.0,1.0,1.0,2,10.942
20,1000,72.96363636363637,95.0,1.0,1.0,1.0,2,21.755
30,1000,121.45454545454545,143.0,1.0,1.0,1.0,2,32.544
40,1000,150.47272727272727,183.0,1.0,1.0,1.0,2,43.256
50,1000,200.4181818181818,243.0,1.0,1.0,1.0,2,53.718
60,1000,233.36363636363637,254.0,1.0,1.0,1.0,2,64.396
70,1000,276.7090909090909,304.0,1.0,1.0,1.0,2,75.117
80,1000,311.1272727272727,353.0,1.0,1.0,1.0,2,85.582
90,1000,322.4,387.0,1.0,1.0,1.0,2,95.915
100,1000,389.25454545454545,447.0,1.0,1.0,1.0,2,106.088
110,1000,410.2909090909091,464.0,1.0,1.0,1.0,3,117.189
120,1000,429.2181818181818,484.0,1.0,1.0,1.0,3,127.933
130,1000,477.3454545454546,533.0,1.0,1.0,1.0,2,138.939
140,1000,482.25454545454545,574.0,1.0,1.0,1.0,2,148.541
150,1000,535.3454545454546,600.0,1.0,1.0,1.0,2,159.65
160,1000,595.9272727272727,664.0,1.0,1.0,1.0,3,170.493
170,1000,530.7454545454545,672.0,1.0,1.0,1.0,3,180.892
180,1000,665.8363636363637,741.0,1.0,1.0,1.0,3,191.609
190,1000,659.1454545454545,760.0,1.0,1.0,1.0,2,201.877
200,1000,737.0363636363636,794.0,1.0,1.0,1.0,3,212.721
210,1000,769.0545454545454,858.0,1.0,1.0,1.0,3,223.827
220,1000,741.7272727272727,861.0,1.0,1.0,1.0,2,233.764
230,1000,829.290909090909,906.0,1.0,1.0,1.0,2,244.404
240,1000,858.5090909090909,946.0,1.0,1.0,1.0,2,254.711
250,1000,857.6727272727272,977.0,1.0,1.0,1.0,2,265.168
260,1000,934.2,1038.0,1.0,1.0,1.0,2,276.405
270,1000,922.3636363636364,1045.0,1.0,1.0,1.0,2,286.681
280,1000,824.6727272727272,1067.0,1.0,1.0,1.0,2,297.331
290,1000,974.4727272727273,1124.0,1.0,1.0,1.0,2,307.577
300,1000,973.5272727272727,1154.0,1.0,1.0,1.0,2,318.822
310,1000,964.0181818181818,1206.0,1.0,1.0,1.0,2,329.27
320,1000,1030.7272727272727,1234.0,1.0,1.0,1.0,2,339.572
330,1000,987.5636363636364,1264.0,1.0,1.0,1.0,2,349.596
340,1000,997.4363636363636,1247.0,1.0,1.0,1.0,2,360.624
350,1000,1132.2,1327.0,1.0,1.0,1.0,2,370.892
360,1000,1134.6,1321.0,1.0,1.0,1.0,2,381.563
370,1000,1223.0363636363636,1344.0,1.0,1.0,1.0,3,392.14
380,1000,1129.090909090909,1398.0,1.0,1.0,1.0,3,402.671
390,1000,974.290909090909,1388.0,1.0,1.0,1.0,2,413.188
400,1000,1244.5272727272727,1471.0,1.0,1.0,1.0,2,423.297
410,1000,1267.2727272727273,1472.0,1.0,1.0,1.0,2,434.395
420,1000,1375.9636363636364,1527.0,1.0,1.0,1.0,3,444.894
430,1000,1409.8909090909092,1557.0,1.0,1.0,1.0,2,454.828
440,1000,1361.9454545454546,1539.0,1.0,1.0,1.0,2,465.755
450,1000,1320.0181818181818,1600.0,1.0,1.0,1.0,2,477.542
460,1000,1359.909090909091,1634.0,1.0,1.0,1.0,2,487.368
470,1000,1374.8545454545454,1691.0,1.0,1.0,1.0,2,497.903
