generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,22.181818181818183,31.0,1.0,1.0,1.0,4,6.476
20,1000,40.43636363636364,57.0,1.0,1.0,1.0,4,12.566
30,1000,54.45454545454545,70.0,1.0,1.0,1.0,3,18.604
40,1000,77.14545454545454,103.0,1.0,1.0,1.0,5,24.854
50,1000,97.16363636363636,111.0,1.0,1.0,1.0,4,30.96
60,1000,111.74545454545455,133.0,1.0,1.0,1.0,4,37.422
70,1000,133.70909090909092,149.0,1.0,1.0,1.0,4,43.409
80,1000,152.27272727272728,174.0,1.0,1.0,1.0,4,49.871
90,1000,172.4181818181818,206.0,1.0,1.0,1.0,3,56.025
100,1000,186.70909090909092,224.0,1.0,1.0,1.0,4,62.818
110,1000,210.87272727272727,245.0,1.0,1.0,1.0,3,68.817
120,1000,223.61818181818182,264.0,1.0,1.0,1.0,3,75.097
130,1000,252.4181818181818,286.0,1.0,1.0,1.0,4,80.987
140,1000,255.3090909090909,302.0,1.0,1.0,1.0,4,87.309
150,1000,271.6363636363636,329.0,1.0,1.0,1.0,4,93.24
160,1000,284.45454545454544,346.0,1.0,1.0,1.0,4,99.777
170,1000,321.8909090909091,368.0,1.0,1.0,1.0,3,105.873
180,1000,327.8,380.0,1.0,1.0,1.0,3,111.836
190,1000,348.2909090909091,390.0,1.0,1.0,1.0,4,118.501
200,1000,337.25454545454545,406.0,1.0,1.0,1.0,3,124.28
210,1000,382.90909090909093,446.0,1.0,1.0,1.0,3,130.832
220,1000,383.23636363636365,448.0,1.0,1.0,1.0,3,136.621
230,1000,414.2,484.0,1.0,1.0,1.0,4,142.644
240,1000,405.4727272727273,512.0,1.0,1.0,1.0,4,149.608
250,1000,434.8909090909091,546.0,1.0,1.0,1.0,3,155.762
260,1000,467.6363636363636,561.0,1.0,1.0,1.0,3,161.759
270,1000,459.3818181818182,579.0,1.0,1.0,1.0,4,167.728
280,1000,488.27272727272725,598.0,1.0,1.0,1.0,5,173.106
290,1000,468.27272727272725,624.0,1.0,1.0,1.0,4,179.651
300,1000,515.9818181818182,624.0,1.0,1.0,1.0,7,186.353
310,1000,458.45454545454544,618.0,1.0,1.0,1.0,3,190.959
320,1000,541.2,642.0,1.0,1.0,1.0,4,197.373
330,1000,509.43636363636364,642.0,1.0,1.0,1.0,4,203.899
340,1000,518.7818181818182,673.0,1.0,1.0,1.0,3,208.807
350,1000,627.2545454545455,705.0,1.0,1.0,1.0,4,216.717
360,1000,618.0,722.0,1.0,1.0,1.0,3,221.861
370,1000,587.6909090909091,716.0,1.0,1.0,1.0,4,228.623
380,1000,603.7454545454545,753.0,1.0,1.0,1.0,4,234.334
390,1000,660.0727272727273,778.0,1.0,1.0,1.0,4,241.471
400,1000,685.6181818181818,800.0,1.0,1.0,1.0,4,246.754
410,1000,704.5454545454545,819.0,1.0,1.0,1.0,4,253.511
420,1000,692.7636363636364,842.0,1.0,1.0,1.0,3,259.065
430,1000,683.5090909090909,825.0,1.0,1.0,1.0,3,265.147
440,1000,722.0,851.0,1.0,1.0,1.0,4,270.489
450,1000,696.4363636363636,870.0,1.0,1.0,1.0,4,277.389
460,1000,594.1090909090909,904.0,1.0,1.0,1.0,4,283.691
470,1000,703.0909090909091,938.0,1.0,1.0,1.0,5,289.733
480,1000,742.0,957.0,1.0,1.0,1.0,4,295.311
490,1000,734.7818181818182,949.0,1.0,1.0,1.0,3,302.825
500,1000,753.0909090909091,983.0,1.0,1.0,1.0,3,308.189
510,1000,740.2545454545455,1001.0,1.0,1.0,1.0,4,313.752
520,1000,694.0,964.0,1.0,1.0,1.0,5,320.128
530,1000,786.6,1036.0,1.0,1.0,1.0,3,326.503
540,1000,759.3090909090909,1041.0,1.0,1.0,1.0,3,332.208
550,1000,707.5636363636364,1063.0,1.0,1.0,1.0,4,338.468
560,1000,885.6,1080.0,1.0,1.0,1.0,4,345.404
570,1000,886.709090909091,1092.0,1.0,1.0,1.0,4,350.249
580,1000,850.2727272727273,1098.0,1.0,1.0,1.0,4,356.19
590,1000,877.4909090909091,1103.0,1.0,1.0,1.0,4,363.778
600,1000,866.290909090909,1136.0,1.0,1.0,1.0,4,369.313
610,1000,869.0727272727273,1163.0,1.0,1.0,1.0,3,376.019
620,1000,911.9454545454546,1169.0,1.0,1.0,1.0,4,381.304
630,1000,815.6909090909091,1140.0,1.0,1.0,1.0,4,386.638
640,1000,935.1818181818181,1200.0,1.0,1.0,1.0,3,394.468
650,1000,984.3636363636364,1221.0,1.0,1.0,1.0,4,400.408
660,1000,937.2181818181818,1228.0,1.0,1.0,1.0,4,406.165
670,1000,956.0545454545454,1247.0,1.0,1.0,1.0,3,412.517
680,1000,815.4545454545455,1235.0,1.0,1.0,1.0,3,418.928
690,1000,929.1272727272727,1274.0,1.0,1.0,1.0,5,425.093
700,1000,992.4727272727273,1322.0,1.0,1.0,1.0,4,431.411
710,1000,945.2727272727273,1295.0,1.0,1.0,1.0,4,437.258
720,1000,988.4545454545455,1309.0,1.0,1.0,1.0,3,443.533
730,1000,798.5454545454545,1336.0,1.0,1.0,1.0,3,449.299
740,1000,946.0181818181818,1347.0,1.0,1.0,1.0,4,456.587
750,1000,995.2,1357.0,1.0,1.0,1.0,4,462.085
760,1000,928.2545454545455,1378.0,1.0,1.0,1.0,4,467.724
770,1000,860.9818181818182,1383.0,1.0,1.0,1.0,3,474.042
780,1000,827.6545454545454,1401.0,1.0,1.0,1.0,3,479.549
790,1000,984.0181818181818,1428.0,1.0,1.0,1.0,4,486.1
800,1000,1048.8,1440.0,1.0,1.0,1.0,4,492.649
810,1000,1045.4727272727273,1460.0,1.0,1.0,1.0,3,499.187
820,1000,1122.5454545454545,1477.0,1.0,1.0,1.0,3,505.316
830,1000,1028.2,1481.0,1.0,1.0,1.0,4,511.419
840,1000,1140.5636363636363,1518.0,1.0,1.0,1.0,4,517.037
850,1000,1090.2181818181818,1511.0,1.0,1.0,1.0,4,523.834
860,1000,989.2181818181818,1507.0,1.0,1.0,1.0,3,530.4
870,1000,985.2181818181818,1518.0,1.0,1.0,1.0,3,534.793
880,1000,1113.3636363636363,1549.0,1.0,1.0,1.0,3,542.249
890,1000,1251.581818181818,1575.0,1.0,1.0,1.0,3,547.886
900,1000,1165.8909090909092,1583.0,1.0,1.0,1.0,4,554.052
910,1000,1149.3454545454545,1617.0,1.0,1.0,1.0,4,558.979
920,1000,1273.7272727272727,1620.0,1.0,1.0,1.0,4,566.644
930,1000,1193.8727272727272,1625.0,1.0,1.0,1.0,3,572.579
940,1000,1238.1636363636364,1671.0,1.0,1.0,1.0,4,578.752
950,1000,1244.6,1666.0,1.0,1.0,1.0,3,585.546
960,1000,1280.6,1698.0,1.0,1.0,1.0,3,590.423
970,1000,1281.1636363636364,1705.0,1.0,1.0,1.0,3,597.412
980,1000,1266.8,1723.0,1.0,1.0,1.0,4,604.769
990,1000,1361.7454545454545,1733.0,1.0,1.0,1.0,4,608.082
1000,1000,1317.6727272727273,1751.0,1.0,1.0,1.0,4,615.472
1010,1000,1172.2,1730.0,1.0,1.0,1.0,5,621.588
1020,1000,1332.709090909091,1774.0,1.0,1.0,1.0,4,627.301
1030,1000,1408.8545454545454,1788.0,1.0,1.0,1.0,5,633.358
1040,1000,1328.6,1818.0,1.0,1.0,1.0,4,639.582
1050,1000,1426.2727272727273,1813.0,1.0,1.0,1.0,4,645.945
1060,1000,1272.9636363636364,1815.0,1.0,1.0,1.0,3,652.584
1070,1000,1301.0545454545454,1809.0,1.0,1.0,1.0,3,659.148
1080,1000,1338.4727272727273,1871.0,1.0,1.0,1.0,3,663.207
1090,1000,1189.3090909090909,1860.0,1.0,1.0,1.0,4,672.344
1100,1000,1221.4363636363637,1864.0,1.0,1.0,1.0,4,676.903
1110,1000,1420.2727272727273,1899.0,1.0,1.0,1.0,3,681.943
1120,1000,1387.7454545454545,1920.0,1.0,1.0,1.0,5,689.702
1130,1000,1358.7818181818182,1922.0,1.0,1.0,1.0,4,693.659
