generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,21.054545454545455,32.0,1.0,1.0,1.0,5,6.544
20,1000,38.872727272727275,55.0,1.0,1.0,1.0,4,12.865
30,1000,59.836363636363636,80.0,1.0,1.0,1.0,4,19.116
40,1000,69.34545454545454,89.0,1.0,1.0,1.0,4,25.248
50,1000,99.52727272727273,124.0,1.0,1.0,1.0,4,31.476
60,1000,123.14545454545454,146.0,1.0,1.0,1.0,3,37.678
70,1000,139.16363636363636,165.0,1.0,1.0,1.0,3,43.925
80,1000,152.2,186.0,1.0,1.0,1.0,4,50.075
90,1000,172.4,210.0,1.0,1.0,1.0,4,56.503
100,1000,180.6,228.0,1.0,1.0,1.0,4,62.4
110,1000,212.70909090909092,255.0,1.0,1.0,1.0,4,68.822
120,1000,225.94545454545454,280.0,1.0,1.0,1.0,3,75.261
130,1000,238.78181818181818,277.0,1.0,1.0,1.0,4,81.284
140,1000,261.23636363636365,316.0,1.0,1.0,1.0,3,87.357
150,1000,272.8181818181818,328.0,1.0,1.0,1.0,3,93.748
160,1000,293.5272727272727,330.0,1.0,1.0,1.0,4,99.893
170,1000,311.2909090909091,364.0,1.0,1.0,1.0,3,105.356
180,1000,339.54545454545456,383.0,1.0,1.0,1.0,3,110.567
190,1000,357.07272727272726,414.0,1.0,1.0,1.0,3,117.282
200,1000,369.2,453.0,1.0,1.0,1.0,3,123.032
210,1000,376.74545454545455,476.0,1.0,1.0,1.0,5,129.672
220,1000,344.3636363636364,427.0,1.0,1.0,1.0,4,134.949
230,1000,402.1636363636364,455.0,1.0,1.0,1.0,4,141.816
240,1000,427.27272727272725,493.0,1.0,1.0,1.0,4,148.05
250,1000,392.6363636363636,493.0,1.0,1.0,1.0,4,154.849
260,1000,426.6545454545454,537.0,1.0,1.0,1.0,4,160.751
270,1000,463.8,560.0,1.0,1.0,1.0,3,166.77
280,1000,494.4909090909091,585.0,1.0,1.0,1.0,4,173.61
290,1000,469.58181818181816,589.0,1.0,1.0,1.0,3,178.616
300,1000,452.1090909090909,593.0,1.0,1.0,1.0,5,184.503
310,1000,482.3636363636364,612.0,1.0,1.0,1.0,4,190.971
320,1000,523.8909090909091,617.0,1.0,1.0,1.0,5,196.931
330,1000,538.0909090909091,643.0,1.0,1.0,1.0,4,203.355
340,1000,473.1818181818182,672.0,1.0,1.0,1.0,6,209.503
350,1000,584.3454545454546,662.0,1.0,1.0,1.0,5,216.079
360,1000,567.4363636363636,705.0,1.0,1.0,1.0,4,221.767
370,1000,493.4727272727273,708.0,1.0,1.0,1.0,4,227.906
380,1000,561.8363636363637,760.0,1.0,1.0,1.0,4,234.557
390,1000,587.3272727272728,746.0,1.0,1.0,1.0,4,240.617
400,1000,594.6,755.0,1.0,1.0,1.0,4,246.992
410,1000,645.290909090909,828.0,1.0,1.0,1.0,4,251.831
420,1000,687.3818181818182,801.0,1.0,1.0,1.0,4,258.728
430,1000,637.6,820.0,1.0,1.0,1.0,4,265.416
440,1000,707.9454545454546,824.0,1.0,1.0,1.0,4,271.102
450,1000,784.8727272727273,886.0,1.0,1.0,1.0,4,277.947
460,1000,785.2181818181818,880.0,1.0,1.0,1.0,4,283.609
470,1000,736.290909090909,928.0,1.0,1.0,1.0,4,289.578
480,1000,797.2727272727273,918.0,1.0,1.0,1.0,4,296.014
490,1000,778.6909090909091,925.0,1.0,1.0,1.0,5,302.255
500,1000,766.1090909090909,937.0,1.0,1.0,1.0,3,308.361
510,1000,836.3272727272728,955.0,1.0,1.0,1.0,3,314.555
520,1000,760.9454545454546,986.0,1.0,1.0,1.0,3,320.157
530,1000,847.6181818181818,999.0,1.0,1.0,1.0,3,326.322
540,1000,800.290909090909,1028.0,1.0,1.0,1.0,3,332.384
550,1000,876.0,1046.0,1.0,1.0,1.0,3,338.214
560,1000,784.3272727272728,1018.0,1.0,1.0,1.0,4,345.521
570,1000,810.0181818181818,1066.0,1.0,1.0,1.0,3,351.294
580,1000,867.2363636363636,1072.0,1.0,1.0,1.0,4,357.542
590,1000,887.6545454545454,1099.0,1.0,1.0,1.0,3,363.759
600,1000,894.9818181818182,1114.0,1.0,1.0,1.0,4,370.002
610,1000,892.6909090909091,1119.0,1.0,1.0,1.0,5,376.175
620,1000,943.9818181818182,1185.0,1.0,1.0,1.0,4,381.131
630,1000,904.2545454545455,1158.0,1.0,1.0,1.0,4,387.872
640,1000,807.4181818181818,1171.0,1.0,1.0,1.0,3,393.144
650,1000,989.7454545454545,1196.0,1.0,1.0,1.0,4,400.852
660,1000,868.6,1226.0,1.0,1.0,1.0,4,406.667
670,1000,910.1818181818181,1238.0,1.0,1.0,1.0,4,413.34
680,1000,975.8545454545455,1244.0,1.0,1.0,1.0,3,418.773
690,1000,965.6909090909091,1256.0,1.0,1.0,1.0,4,424.461
700,1000,986.8545454545455,1279.0,1.0,1.0,1.0,4,430.344
