generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,38.78181818181818,54.0,1.0,1.0,1.0,2,10.948
20,1000,77.72727272727273,93.0,1.0,1.0,1.0,2,21.697
30,1000,109.25454545454545,135.0,1.0,1.0,1.0,2,32.322
40,1000,158.23636363636365,172.0,1.0,1.0,1.0,3,43.259
50,1000,196.14545454545456,221.0,1.0,1.0,1.0,2,54.154
60,1000,242.38181818181818,274.0,1.0,1.0,1.0,3,64.385
70,1000,268.6363636363636,322.0,1.0,1.0,1.0,3,75.218
80,1000,294.0181818181818,333.0,1.0,1.0,1.0,2,86.015
90,1000,339.7818181818182,388.0,1.0,1.0,1.0,3,96.508
100,1000,346.0181818181818,433.0,1.0,1.0,1.0,2,106.816
110,1000,425.1818181818182,479.0,1.0,1.0,1.0,2,117.982
120,1000,471.58181818181816,510.0,1.0,1.0,1.0,3,127.844
130,1000,426.6727272727273,568.0,1.0,1.0,1.0,2,138.195
140,1000,545.5636363636364,599.0,1.0,1.0,1.0,2,149.523
150,1000,544.9818181818182,629.0,1.0,1.0,1.0,3,159.693
160,1000,564.3636363636364,655.0,1.0,1.0,1.0,2,169.84
170,1000,643.7818181818182,712.0,1.0,1.0,1.0,2,181.008
180,1000,680.1454545454545,726.0,1.0,1.0,1.0,2,191.681
190,1000,659.0909090909091,790.0,1.0,1.0,1.0,3,202.55
200,1000,715.6181818181818,808.0,1.0,1.0,1.0,2,213.191
210,1000,689.9818181818182,823.0,1.0,1.0,1.0,2,223.777
220,1000,800.8,890.0,1.0,1.0,1.0,2,234.482
230,1000,773.5272727272727,909.0,1.0,1.0,1.0,2,244.987
240,1000,792.4909090909091,939.0,1.0,1.0,1.0,3,255.051
250,1000,699.4,983.0,1.0,1.0,1.0,3,264.54
260,1000,781.2,1030.0,1.0,1.0,1.0,4,276.71
270,1000,861.7454545454545,1073.0,1.0,1.0,1.0,2,286.911
280,1000,882.6363636363636,1084.0,1.0,1.0,1.0,2,297.78
290,1000,963.2545454545455,1098.0,1.0,1.0,1.0,2,308.06
300,1000,678.5090909090909,979.0,1.0,1.0,1.0,2,318.962
310,1000,990.9272727272727,1196.0,1.0,1.0,1.0,3,329.687
320,1000,964.0,1232.0,1.0,1.0,1.0,2,339.373
330,1000,988.2363636363636,1264.0,1.0,1.0,1.0,2,350.201
340,1000,978.4363636363636,1283.0,1.0,1.0,1.0,2,361.038
350,1000,1068.0181818181818,1298.0,1.0,1.0,1.0,3,371.702
360,1000,1056.1272727272728,1349.0,1.0,1.0,1.0,3,382.794
370,1000,1094.2727272727273,1361.0,1.0,1.0,1.0,2,393.108
380,1000,1071.3272727272727,1442.0,1.0,1.0,1.0,3,403.776
390,1000,1130.581818181818,1467.0,1.0,1.0,1.0,3,414.504
400,1000,1199.4545454545455,1458.0,1.0,1.0,1.0,2,424.454
410,1000,1208.1636363636364,1473.0,1.0,1.0,1.0,3,434.634
420,1000,1218.3272727272727,1529.0,1.0,1.0,1.0,2,446.079
430,1000,1189.090909090909,1525.0,1.0,1.0,1.0,2,455.456
440,1000,1307.2363636363636,1608.0,1.0,1.0,1.0,2,466.842
450,1000,1208.6727272727273,1616.0,1.0,1.0,1.0,3,477.203
460,1000,1336.2545454545455,1676.0,1.0,1.0,1.0,3,488.475
470,1000,1403.3636363636363,1692.0,1.0,1.0,1.0,2,498.098
480,1000,1468.7272727272727,1753.0,1.0,1.0,1.0,2,509.464
490,1000,1509.6,1744.0,1.0,1.0,1.0,3,519.642
500,1000,1536.6363636363637,1806.0,1.0,1.0,1.0,2,530.746
510,1000,1549.4,1819.0,1.0,1.0,1.0,2,541.053
520,1000,1415.9454545454546,1849.0,1.0,1.0,1.0,2,551.741
530,1000,1538.0181818181818,1891.0,1.0,1.0,1.0,2,561.987
540,1000,1531.4363636363637,1916.0,1.0,1.0,1.0,2,572.567
550,1000,1532.490909090909,1943.0,1.0,1.0,1.0,2,582.842
560,1000,1559.090909090909,1979.0,1.0,1.0,1.0,3,594.083
570,1000,1670.3454545454545,1987.0,1.0,1.0,1.0,2,604.078
580,1000,1627.0181818181818,1995.0,1.0,1.0,1.0,2,615.704
590,1000,1375.0181818181818,2058.0,1.0,1.0,1.0,2,626.989
600,1000,1526.1454545454546,2061.0,1.0,1.0,1.0,2,635.114
610,1000,1559.9272727272728,2055.0,1.0,1.0,1.0,2,646.234
620,1000,1642.2181818181818,2129.0,1.0,1.0,1.0,2,656.819
630,1000,1596.5272727272727,2100.0,1.0,1.0,1.0,3,666.991
640,1000,1635.3818181818183,2168.0,1.0,1.0,1.0,3,678.385
650,1000,1818.090909090909,2199.0,1.0,1.0,1.0,2,688.925
660,1000,1838.4727272727273,2240.0,1.0,1.0,1.0,2,699.784
670,1000,1583.9454545454546,2258.0,1.0,1.0,1.0,2,710.24
680,1000,1531.4363636363637,2254.0,1.0,1.0,1.0,2,721.558
690,1000,1596.7818181818182,2285.0,1.0,1.0,1.0,2,731.401
700,1000,1491.1090909090908,2288.0,1.0,1.0,1.0,2,741.581
710,1000,1746.2,2368.0,1.0,1.0,1.0,3,753.117
720,1000,1435.2181818181818,2393.0,1.0,1.0,1.0,3,763.712
730,1000,1829.8909090909092,2422.0,1.0,1.0,1.0,2,772.985
740,1000,1833.709090909091,2453.0,1.0,1.0,1.0,2,784.328
750,1000,1800.0363636363636,2466.0,1.0,1.0,1.0,2,794.78
760,1000,1666.8181818181818,2495.0,1.0,1.0,1.0,2,804.799
770,1000,1593.6545454545455,2522.0,1.0,1.0,1.0,3,815.704
780,1000,1680.3272727272727,2568.0,1.0,1.0,1.0,2,826.247
790,1000,1777.3818181818183,2535.0,1.0,1.0,1.0,2,837.071
800,1000,1739.1090909090908,2578.0,1.0,1.0,1.0,2,847.535
810,1000,1735.3090909090909,2617.0,1.0,1.0,1.0,2,857.905
820,1000,1872.0545454545454,2618.0,1.0,1.0,1.0,2,868.147
830,1000,1691.3272727272727,2655.0,1.0,1.0,1.0,3,878.269
840,1000,1817.5636363636363,2699.0,1.0,1.0,1.0,3,889.158
850,1000,1503.9818181818182,2672.0,1.0,1.0,1.0,2,899.681
860,1000,1567.909090909091,2697.0,1.0,1.0,1.0,3,911.782
870,1000,1342.3090909090909,2709.0,1.0,1.0,1.0,2,921.675
880,1000,1353.5272727272727,2759.0,1.0,1.0,1.0,2,932.93
890,1000,1613.490909090909,2780.0,1.0,1.0,1.0,3,942.388
900,1000,1360.2181818181818,2778.0,1.0,1.0,1.0,2,953.148
910,1000,1150.8909090909092,1569.0,1.0,1.0,1.0,2,964.056
920,1000,949.4363636363636,1601.0,1.0,1.0,1.0,3,975.386
930,1000,1216.4363636363637,1670.0,1.0,1.0,1.0,2,986.011
940,1000,1510.090909090909,2870.0,1.0,1.0,1.0,3,997.098
950,1000,1524.3636363636363,2903.0,1.0,1.0,1.0,2,1008.262
960,1000,1798.3272727272727,2941.0,1.0,1.0,1.0,2,1016.292
970,1000,1530.5454545454545,2937.0,1.0,1.0,1.0,2,1027.333
980,1000,1654.8909090909092,2956.0,1.0,1.0,1.0,2,1038.419
990,1000,1656.8,3006.0,1.0,1.0,1.0,2,1049.545
1000,1000,1422.6545454545455,1854.0,1.0,1.0,1.0,2,1059.687
1010,1000,1443.7454545454545,1887.0,1.0,1.0,1.0,3,1069.567
1020,1000,1780.8545454545454,3063.0,1.0,1.0,1.0,2,1081.322
1030,1000,1741.6909090909091,3086.0,1.0,1.0,1.0,3,1091.674
1040,1000,1436.709090909091,1943.0,1.0,1.0,1.0,4,1102.694
1050,1000,1455.9818181818182,1993.0,1.0,1.0,1.0,2,1114.006
1060,1000,1510.6363636363637,2021.0,1.0,1.0,1.0,2,1124.372
1070,1000,1441.9272727272728,2070.0,1.0,1.0,1.0,3,1132.986
1080,1000,1211.7272727272727,2081.0,1.0,1.0,1.0,2,1144.558
1090,1000,1541.0181818181818,2088.0,1.0,1.0,1.0,3,1155.93
1100,1000,1492.0727272727272,2124.0,1.0,1.0,1.0,2,1165.942
1110,1000,1595.3636363636363,2138.0,1.0,1.0,1.0,2,1177.891
1120,1000,1503.090909090909,2172.0,1.0,1.0,1.0,4,1187.497
1130,1000,1324.0181818181818,1937.0,1.0,1.0,1.0,2,1197.282
1140,1000,1384.6181818181817,2202.0,1.0,1.0,1.0,3,1208.394
1150,1000,1594.6,2225.0,1.0,1.0,1.0,2,1218.141
1160,1000,1711.0181818181818,2271.0,1.0,1.0,1.0,3,1227.802
1170,1000,1541.5272727272727,2301.0,1.0,1.0,1.0,2,1240.277
1180,1000,1780.1454545454546,2334.0,1.0,1.0,1.0,3,1251.47
1190,1000,1740.6909090909091,2355.0,1.0,1.0,1.0,3,1260.817
1200,1000,1687.8181818181818,2339.0,1.0,1.0,1.0,4,1271.968
1210,1000,1759.9272727272728,2437.0,1.0,1.0,1.0,3,1283.169
1220,1000,1622.0545454545454,2422.0,1.0,1.0,1.0,2,1292.728
1230,1000,1780.8545454545454,2485.0,1.0,1.0,1.0,2,1303.083
1240,1000,1709.3636363636363,2473.0,1.0,1.0,1.0,2,1314.215
1250,1000,1956.9818181818182,2521.0,1.0,1.0,1.0,3,1324.19
1260,1000,1913.7818181818182,2550.0,1.0,1.0,1.0,2,1334.506
1270,1000,1600.6363636363637,2564.0,1.0,1.0,1.0,2,1346.421
1280,1000,1601.6,2563.0,1.0,1.0,1.0,2,1358.747
1290,1000,1396.2363636363636,2466.0,1.0,1.0,1.0,2,1367.174
1300,1000,1140.1818181818182,2275.0,1.0,1.0,1.0,2,1378.816
1310,1000,1696.3818181818183,2662.0,1.0,1.0,1.0,3,1386.699
1320,1000,1806.2545454545455,2667.0,1.0,1.0,1.0,2,1399.659
1330,1000,2028.4727272727273,2707.0,1.0,1.0,1.0,3,1408.862
1340,1000,2133.6363636363635,2742.0,1.0,1.0,1.0,3,1421.725
1350,1000,1970.4363636363637,2729.0,1.0,1.0,1.0,2,1429.231
1360,1000,2070.927272727273,2750.0,1.0,1.0,1.0,2,1442.708
1370,1000,1675.3818181818183,2768.0,1.0,1.0,1.0,2,1453.267
1380,1000,1874.6,2820.0,1.0,1.0,1.0,3,1462.131
1390,1000,1956.418181818182,2818.0,1.0,1.0,1.0,3,1473.09
1400,1000,2052.2545454545457,2840.0,1.0,1.0,1.0,2,1483.442
1410,1000,2072.6363636363635,2849.0,1.0,1.0,1.0,2,1495.241
1420,1000,1329.6363636363637,2895.0,1.0,1.0,1.0,2,1506.148
1430,1000,2257.2181818181816,2916.0,1.0,1.0,1.0,3,1516.44
1440,1000,2134.3818181818183,2916.0,1.0,1.0,1.0,2,1527.605
1450,1000,2152.581818181818,2959.0,1.0,1.0,1.0,2,1536.027
1460,1000,2220.2545454545457,2969.0,1.0,1.0,1.0,3,1549.196
1470,1000,2157.7272727272725,3009.0,1.0,1.0,1.0,2,1557.286
1480,1000,1769.8909090909092,3014.0,1.0,1.0,1.0,2,1568.88
1490,1000,2151.890909090909,3035.0,1.0,1.0,1.0,2,1578.026
