generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,5.818181818181818,10.0,1.0,1.0,1.0,73,2.703
20,1000,7.090909090909091,12.0,1.0,1.0,1.0,13,5.48
30,1000,14.909090909090908,22.0,1.0,1.0,1.0,7,8.132
40,1000,21.363636363636363,26.0,1.0,1.0,1.0,12,11.272
50,1000,22.545454545454547,31.0,1.0,1.0,1.0,8,13.861
60,1000,30.163636363636364,40.0,1.0,1.0,1.0,13,16.688
70,1000,35.45454545454545,49.0,1.0,1.0,1.0,13,19.608
80,1000,39.78181818181818,54.0,1.0,1.0,1.0,12,22.28
90,1000,40.763636363636365,57.0,1.0,1.0,1.0,11,24.908
100,1000,42.29090909090909,58.0,1.0,1.0,1.0,9,27.517
110,1000,54.61818181818182,67.0,1.0,1.0,1.0,11,29.868
120,1000,56.36363636363637,74.0,1.0,1.0,1.0,14,33.127
130,1000,59.345454545454544,79.0,1.0,1.0,1.0,9,36.203
140,1000,66.56363636363636,86.0,1.0,1.0,1.0,10,39.15
150,1000,70.61818181818182,91.0,1.0,1.0,1.0,10,41.542
160,1000,71.2,91.0,1.0,1.0,1.0,12,44.806
170,1000,80.43636363636364,99.0,1.0,1.0,1.0,11,47.219
180,1000,80.07272727272728,105.0,1.0,1.0,1.0,12,49.098
190,1000,82.4,113.0,1.0,1.0,1.0,10,52.063
200,1000,83.52727272727273,111.0,1.0,1.0,1.0,15,56.402
210,1000,95.81818181818181,114.0,1.0,1.0,1.0,11,57.925
220,1000,98.23636363636363,125.0,1.0,1.0,1.0,9,61.133
230,1000,87.23636363636363,121.0,1.0,1.0,1.0,12,63.612
240,1000,91.6,128.0,1.0,1.0,1.0,11,66.749
250,1000,110.74545454545455,138.0,1.0,1.0,1.0,9,69.309
260,1000,114.63636363636364,135.0,1.0,1.0,1.0,13,72.669
270,1000,122.67272727272727,146.0,1.0,1.0,1.0,12,74.868
280,1000,122.16363636363636,144.0,1.0,1.0,1.0,11,77.73
290,1000,119.50909090909092,149.0,1.0,1.0,1.0,10,80.032
300,1000,120.32727272727273,159.0,1.0,1.0,1.0,7,83.185
310,1000,131.54545454545453,156.0,1.0,1.0,1.0,8,86.605
320,1000,138.96363636363637,167.0,1.0,1.0,1.0,11,88.831
330,1000,144.16363636363636,168.0,1.0,1.0,1.0,9,92.068
340,1000,143.8181818181818,184.0,1.0,1.0,1.0,13,95.06
350,1000,158.87272727272727,186.0,1.0,1.0,1.0,9,97.541
360,1000,146.0909090909091,189.0,1.0,1.0,1.0,9,100.258
370,1000,152.76363636363635,204.0,1.0,1.0,1.0,10,103.373
380,1000,161.4909090909091,205.0,1.0,1.0,1.0,10,106.257
390,1000,173.3090909090909,208.0,1.0,1.0,1.0,15,108.586
400,1000,156.25454545454545,215.0,1.0,1.0,1.0,11,111.744
410,1000,149.1090909090909,208.0,1.0,1.0,1.0,9,114.582
420,1000,183.96363636363637,221.0,1.0,1.0,1.0,11,116.845
430,1000,169.43636363636364,229.0,1.0,1.0,1.0,8,119.92
440,1000,182.8909090909091,235.0,1.0,1.0,1.0,10,122.259
450,1000,195.70909090909092,244.0,1.0,1.0,1.0,11,124.948
460,1000,208.27272727272728,247.0,1.0,1.0,1.0,18,129.22
470,1000,208.21818181818182,257.0,1.0,1.0,1.0,10,130.956
480,1000,213.16363636363636,260.0,1.0,1.0,1.0,10,134.367
490,1000,209.56363636363636,261.0,1.0,1.0,1.0,15,137.465
500,1000,210.3090909090909,259.0,1.0,1.0,1.0,12,138.264
510,1000,192.70909090909092,266.0,1.0,1.0,1.0,13,142.027
520,1000,212.05454545454546,270.0,1.0,1.0,1.0,8,145.762
530,1000,119.89090909090909,191.0,1.0,1.0,1.0,9,148.477
540,1000,206.27272727272728,274.0,1.0,1.0,1.0,11,150.166
550,1000,240.56363636363636,301.0,1.0,1.0,1.0,12,153.763
560,1000,247.2,299.0,1.0,1.0,1.0,13,156.541
570,1000,235.76363636363635,292.0,1.0,1.0,1.0,7,158.772
580,1000,243.76363636363635,315.0,1.0,1.0,1.0,9,161.936
590,1000,234.45454545454547,301.0,1.0,1.0,1.0,13,163.712
600,1000,248.65454545454546,329.0,1.0,1.0,1.0,10,167.399
610,1000,235.21818181818182,332.0,1.0,1.0,1.0,10,167.876
620,1000,260.1272727272727,328.0,1.0,1.0,1.0,16,170.448
630,1000,264.6727272727273,336.0,1.0,1.0,1.0,7,173.168
640,1000,228.6,329.0,1.0,1.0,1.0,13,177.013
650,1000,277.8,349.0,1.0,1.0,1.0,15,179.852
660,1000,254.83636363636364,339.0,1.0,1.0,1.0,11,182.806
670,1000,253.54545454545453,351.0,1.0,1.0,1.0,11,183.928
680,1000,279.8545454545455,370.0,1.0,1.0,1.0,10,186.447
690,1000,245.3272727272727,360.0,1.0,1.0,1.0,10,188.574
700,1000,294.7818181818182,377.0,1.0,1.0,1.0,12,192.783
710,1000,263.6727272727273,372.0,1.0,1.0,1.0,9,197.19
720,1000,262.8363636363636,378.0,1.0,1.0,1.0,10,197.719
730,1000,261.4,374.0,1.0,1.0,1.0,9,201.26
740,1000,320.6181818181818,385.0,1.0,1.0,1.0,15,200.731
750,1000,211.56363636363636,362.0,1.0,1.0,1.0,11,205.021
