generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,20.87272727272727,27.0,1.0,1.0,1.0,3,6.46
20,1000,39.236363636363635,52.0,1.0,1.0,1.0,4,12.739
30,1000,61.236363636363635,72.0,1.0,1.0,1.0,3,19.051
40,1000,83.96363636363637,96.0,1.0,1.0,1.0,3,25.196
50,1000,89.85454545454546,112.0,1.0,1.0,1.0,6,31.381
60,1000,113.78181818181818,131.0,1.0,1.0,1.0,4,37.902
70,1000,139.4909090909091,171.0,1.0,1.0,1.0,3,44.051
80,1000,152.85454545454544,188.0,1.0,1.0,1.0,3,50.211
90,1000,157.4909090909091,184.0,1.0,1.0,1.0,3,56.351
100,1000,180.4181818181818,202.0,1.0,1.0,1.0,4,62.626
110,1000,200.36363636363637,241.0,1.0,1.0,1.0,4,68.771
120,1000,221.1818181818182,269.0,1.0,1.0,1.0,4,75.136
130,1000,233.65454545454546,278.0,1.0,1.0,1.0,4,81.356
140,1000,246.23636363636365,290.0,1.0,1.0,1.0,3,87.993
150,1000,273.8909090909091,307.0,1.0,1.0,1.0,4,93.082
160,1000,290.6363636363636,324.0,1.0,1.0,1.0,4,99.591
170,1000,310.4727272727273,343.0,1.0,1.0,1.0,3,105.458
180,1000,326.1636363636364,391.0,1.0,1.0,1.0,4,111.451
190,1000,350.07272727272726,402.0,1.0,1.0,1.0,4,117.89
200,1000,323.2909090909091,390.0,1.0,1.0,1.0,4,123.764
210,1000,374.9818181818182,427.0,1.0,1.0,1.0,4,130.006
220,1000,326.05454545454546,431.0,1.0,1.0,1.0,5,136.283
230,1000,379.6727272727273,487.0,1.0,1.0,1.0,4,142.948
240,1000,420.07272727272726,479.0,1.0,1.0,1.0,4,148.76
250,1000,425.7818181818182,498.0,1.0,1.0,1.0,4,155.308
260,1000,445.3272727272727,536.0,1.0,1.0,1.0,4,161.663
270,1000,455.4909090909091,547.0,1.0,1.0,1.0,3,167.145
280,1000,481.43636363636364,578.0,1.0,1.0,1.0,3,174.234
290,1000,428.58181818181816,580.0,1.0,1.0,1.0,4,180.251
300,1000,498.3090909090909,601.0,1.0,1.0,1.0,4,186.661
310,1000,521.8,628.0,1.0,1.0,1.0,4,192.364
320,1000,543.8545454545455,653.0,1.0,1.0,1.0,3,198.589
330,1000,596.3636363636364,668.0,1.0,1.0,1.0,5,204.69
340,1000,494.5272727272727,672.0,1.0,1.0,1.0,4,210.591
350,1000,514.5272727272727,708.0,1.0,1.0,1.0,4,216.915
360,1000,576.4909090909091,721.0,1.0,1.0,1.0,4,223.242
370,1000,636.6363636363636,738.0,1.0,1.0,1.0,4,229.842
380,1000,649.2,748.0,1.0,1.0,1.0,4,236.696
390,1000,598.0727272727273,763.0,1.0,1.0,1.0,4,242.783
400,1000,593.5636363636364,785.0,1.0,1.0,1.0,4,249.15
