generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,19.272727272727273,24.0,1.0,1.0,1.0,4,6.442
20,1000,41.85454545454545,60.0,1.0,1.0,1.0,3,12.89
30,1000,55.345454545454544,73.0,1.0,1.0,1.0,4,19.087
40,1000,72.56363636363636,90.0,1.0,1.0,1.0,4,25.238
50,1000,101.2909090909091,128.0,1.0,1.0,1.0,4,31.79
60,1000,116.34545454545454,148.0,1.0,1.0,1.0,5,37.805
70,1000,137.1090909090909,168.0,1.0,1.0,1.0,4,44.296
80,1000,138.01818181818183,172.0,1.0,1.0,1.0,4,50.114
90,1000,162.63636363636363,200.0,1.0,1.0,1.0,3,56.786
100,1000,187.38181818181818,229.0,1.0,1.0,1.0,3,62.897
110,1000,192.9090909090909,234.0,1.0,1.0,1.0,4,69.124
120,1000,203.01818181818183,244.0,1.0,1.0,1.0,4,75.229
130,1000,211.45454545454547,272.0,1.0,1.0,1.0,3,81.627
140,1000,248.70909090909092,305.0,1.0,1.0,1.0,4,87.96
150,1000,256.1818181818182,310.0,1.0,1.0,1.0,4,94.145
160,1000,280.25454545454545,346.0,1.0,1.0,1.0,5,100.289
170,1000,283.76363636363635,347.0,1.0,1.0,1.0,4,106.618
180,1000,273.54545454545456,357.0,1.0,1.0,1.0,4,113.007
190,1000,324.1636363636364,388.0,1.0,1.0,1.0,3,119.163
200,1000,310.41818181818184,393.0,1.0,1.0,1.0,4,125.568
210,1000,337.7090909090909,418.0,1.0,1.0,1.0,4,131.269
220,1000,388.8727272727273,448.0,1.0,1.0,1.0,4,137.963
230,1000,353.96363636363634,444.0,1.0,1.0,1.0,4,144.005
240,1000,392.8909090909091,476.0,1.0,1.0,1.0,5,150.244
250,1000,426.7818181818182,501.0,1.0,1.0,1.0,4,156.325
260,1000,412.4909090909091,513.0,1.0,1.0,1.0,4,162.852
270,1000,430.7090909090909,521.0,1.0,1.0,1.0,5,168.259
280,1000,432.7818181818182,549.0,1.0,1.0,1.0,4,174.944
290,1000,401.0181818181818,547.0,1.0,1.0,1.0,4,181.489
300,1000,481.45454545454544,569.0,1.0,1.0,1.0,4,187.035
310,1000,490.94545454545454,601.0,1.0,1.0,1.0,3,193.357
320,1000,490.27272727272725,622.0,1.0,1.0,1.0,3,199.662
330,1000,555.4363636363636,644.0,1.0,1.0,1.0,5,206.303
340,1000,491.90909090909093,664.0,1.0,1.0,1.0,5,211.668
350,1000,528.2363636363636,654.0,1.0,1.0,1.0,3,217.979
360,1000,560.9090909090909,697.0,1.0,1.0,1.0,4,224.972
370,1000,577.6181818181818,716.0,1.0,1.0,1.0,4,230.627
380,1000,559.5454545454545,721.0,1.0,1.0,1.0,3,236.468
390,1000,618.0,739.0,1.0,1.0,1.0,4,242.336
400,1000,591.3272727272728,757.0,1.0,1.0,1.0,4,249.777
410,1000,597.9454545454546,765.0,1.0,1.0,1.0,4,255.595
420,1000,618.9090909090909,785.0,1.0,1.0,1.0,4,261.292
