generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,17.345454545454544,29.0,1.0,1.0,1.0,5,6.488
20,1000,37.43636363636364,47.0,1.0,1.0,1.0,4,12.717
30,1000,57.41818181818182,73.0,1.0,1.0,1.0,3,19.02
40,1000,75.45454545454545,87.0,1.0,1.0,1.0,3,25.1
50,1000,93.2,109.0,1.0,1.0,1.0,3,31.34
60,1000,113.52727272727273,139.0,1.0,1.0,1.0,4,37.871
70,1000,132.98181818181817,152.0,1.0,1.0,1.0,4,43.757
80,1000,158.16363636363636,192.0,1.0,1.0,1.0,4,50.084
90,1000,172.4909090909091,209.0,1.0,1.0,1.0,4,56.465
100,1000,198.05454545454546,231.0,1.0,1.0,1.0,3,62.594
110,1000,215.07272727272726,238.0,1.0,1.0,1.0,4,68.657
120,1000,232.6,255.0,1.0,1.0,1.0,4,75.14
130,1000,251.65454545454546,282.0,1.0,1.0,1.0,3,81.335
140,1000,259.03636363636366,298.0,1.0,1.0,1.0,4,87.975
150,1000,264.4727272727273,316.0,1.0,1.0,1.0,4,93.644
160,1000,273.0,335.0,1.0,1.0,1.0,3,99.81
170,1000,314.6545454545454,350.0,1.0,1.0,1.0,4,106.285
180,1000,286.7818181818182,371.0,1.0,1.0,1.0,3,112.573
190,1000,357.05454545454546,409.0,1.0,1.0,1.0,4,118.763
200,1000,341.1636363636364,416.0,1.0,1.0,1.0,5,124.744
210,1000,316.2181818181818,430.0,1.0,1.0,1.0,5,130.857
220,1000,356.76363636363635,457.0,1.0,1.0,1.0,5,137.285
230,1000,368.23636363636365,482.0,1.0,1.0,1.0,5,143.722
240,1000,418.03636363636366,495.0,1.0,1.0,1.0,4,149.411
250,1000,445.45454545454544,522.0,1.0,1.0,1.0,4,155.924
260,1000,471.3272727272727,542.0,1.0,1.0,1.0,4,162.2
270,1000,435.3272727272727,554.0,1.0,1.0,1.0,4,168.383
280,1000,465.2181818181818,563.0,1.0,1.0,1.0,3,175.089
290,1000,467.4909090909091,590.0,1.0,1.0,1.0,4,180.296
300,1000,508.6545454545454,611.0,1.0,1.0,1.0,3,186.844
310,1000,419.94545454545454,589.0,1.0,1.0,1.0,3,192.863
320,1000,557.9090909090909,647.0,1.0,1.0,1.0,4,199.067
330,1000,586.8727272727273,674.0,1.0,1.0,1.0,4,205.694
340,1000,558.8727272727273,658.0,1.0,1.0,1.0,3,211.913
350,1000,594.3090909090909,705.0,1.0,1.0,1.0,4,218.58
360,1000,530.5818181818182,692.0,1.0,1.0,1.0,3,224.127
370,1000,566.8,732.0,1.0,1.0,1.0,4,230.332
380,1000,633.6909090909091,748.0,1.0,1.0,1.0,4,237.121
390,1000,546.4727272727273,737.0,1.0,1.0,1.0,4,243.081
400,1000,590.2727272727273,761.0,1.0,1.0,1.0,5,249.642
410,1000,674.9454545454546,810.0,1.0,1.0,1.0,4,256.405
420,1000,614.9818181818182,801.0,1.0,1.0,1.0,4,261.71
430,1000,676.2727272727273,853.0,1.0,1.0,1.0,3,268.174
440,1000,657.9090909090909,852.0,1.0,1.0,1.0,3,274.178
450,1000,661.1090909090909,889.0,1.0,1.0,1.0,4,280.967
460,1000,649.2727272727273,877.0,1.0,1.0,1.0,4,287.056
470,1000,624.2727272727273,915.0,1.0,1.0,1.0,3,293.548
480,1000,657.8363636363637,899.0,1.0,1.0,1.0,4,298.699
490,1000,696.0,939.0,1.0,1.0,1.0,3,305.302
500,1000,668.4,963.0,1.0,1.0,1.0,4,311.734
510,1000,729.0727272727273,964.0,1.0,1.0,1.0,5,317.339
520,1000,752.8363636363637,1015.0,1.0,1.0,1.0,3,324.513
530,1000,754.4909090909091,1020.0,1.0,1.0,1.0,4,329.601
540,1000,715.1454545454545,1010.0,1.0,1.0,1.0,5,336.414
550,1000,809.5090909090909,1060.0,1.0,1.0,1.0,4,342.649
560,1000,682.9090909090909,1095.0,1.0,1.0,1.0,4,348.615
570,1000,863.2363636363636,1115.0,1.0,1.0,1.0,3,354.583
580,1000,838.7454545454545,1112.0,1.0,1.0,1.0,5,360.656
590,1000,924.8181818181819,1137.0,1.0,1.0,1.0,4,367.811
600,1000,940.8909090909091,1149.0,1.0,1.0,1.0,4,374.187
610,1000,865.1454545454545,1134.0,1.0,1.0,1.0,4,380.53
620,1000,1010.8363636363637,1170.0,1.0,1.0,1.0,4,386.447
630,1000,929.3636363636364,1185.0,1.0,1.0,1.0,3,392.76
