generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,41.70909090909091,58.0,1.0,1.0,1.0,2,10.95
20,1000,80.43636363636364,105.0,1.0,1.0,1.0,3,21.658
30,1000,104.49090909090908,130.0,1.0,1.0,1.0,3,32.622
40,1000,151.9090909090909,192.0,1.0,1.0,1.0,2,42.964
50,1000,180.8,215.0,1.0,1.0,1.0,3,53.638
60,1000,220.6727272727273,271.0,1.0,1.0,1.0,2,63.997
70,1000,263.1090909090909,304.0,1.0,1.0,1.0,2,75.26
80,1000,309.6363636363636,340.0,1.0,1.0,1.0,2,85.804
90,1000,333.2909090909091,377.0,1.0,1.0,1.0,2,95.924
100,1000,357.6363636363636,422.0,1.0,1.0,1.0,3,106.369
110,1000,393.6181818181818,456.0,1.0,1.0,1.0,2,117.302
120,1000,436.90909090909093,469.0,1.0,1.0,1.0,3,127.443
130,1000,457.43636363636364,522.0,1.0,1.0,1.0,2,138.746
140,1000,502.58181818181816,586.0,1.0,1.0,1.0,2,149.398
150,1000,496.58181818181816,592.0,1.0,1.0,1.0,3,159.454
160,1000,563.7272727272727,650.0,1.0,1.0,1.0,2,170.34
170,1000,614.3818181818182,688.0,1.0,1.0,1.0,2,180.464
180,1000,632.4,705.0,1.0,1.0,1.0,2,191.314
190,1000,663.7454545454545,746.0,1.0,1.0,1.0,2,202.259
200,1000,688.7272727272727,811.0,1.0,1.0,1.0,2,212.061
210,1000,743.2181818181818,808.0,1.0,1.0,1.0,2,222.107
220,1000,754.4727272727273,860.0,1.0,1.0,1.0,2,232.857
230,1000,779.2,861.0,1.0,1.0,1.0,2,243.384
240,1000,764.0909090909091,917.0,1.0,1.0,1.0,2,254.595
250,1000,814.2363636363636,955.0,1.0,1.0,1.0,3,264.394
260,1000,873.1818181818181,1008.0,1.0,1.0,1.0,2,275.316
270,1000,896.7272727272727,1012.0,1.0,1.0,1.0,3,286.15
280,1000,858.0,1059.0,1.0,1.0,1.0,3,296.982
290,1000,1001.4,1109.0,1.0,1.0,1.0,3,306.767
300,1000,972.5636363636364,1155.0,1.0,1.0,1.0,2,318.241
310,1000,982.5454545454545,1157.0,1.0,1.0,1.0,2,328.779
320,1000,944.3090909090909,1193.0,1.0,1.0,1.0,2,338.719
330,1000,1067.9454545454546,1222.0,1.0,1.0,1.0,3,349.58
340,1000,1071.3272727272727,1265.0,1.0,1.0,1.0,2,360.153
350,1000,1113.7818181818182,1293.0,1.0,1.0,1.0,3,370.444
360,1000,1123.7454545454545,1341.0,1.0,1.0,1.0,3,382.31
370,1000,1047.6363636363637,1332.0,1.0,1.0,1.0,3,391.54
