generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,40.127272727272725,47.0,1.0,1.0,1.0,2,11.029
20,1000,75.96363636363637,104.0,1.0,1.0,1.0,2,21.896
30,1000,122.32727272727273,149.0,1.0,1.0,1.0,3,32.56
40,1000,155.14545454545456,179.0,1.0,1.0,1.0,3,43.041
50,1000,194.01818181818183,223.0,1.0,1.0,1.0,3,53.472
60,1000,226.6909090909091,259.0,1.0,1.0,1.0,2,64.245
70,1000,264.58181818181816,308.0,1.0,1.0,1.0,3,75.201
80,1000,308.8181818181818,345.0,1.0,1.0,1.0,2,85.806
90,1000,335.1272727272727,388.0,1.0,1.0,1.0,3,96.217
100,1000,362.6363636363636,415.0,1.0,1.0,1.0,3,106.626
110,1000,391.4727272727273,468.0,1.0,1.0,1.0,2,117.445
120,1000,430.05454545454546,496.0,1.0,1.0,1.0,2,127.965
130,1000,486.8545454545455,560.0,1.0,1.0,1.0,3,138.518
140,1000,479.6181818181818,565.0,1.0,1.0,1.0,3,149.278
150,1000,524.8,639.0,1.0,1.0,1.0,2,159.527
160,1000,537.2181818181818,639.0,1.0,1.0,1.0,2,170.709
170,1000,633.0545454545454,694.0,1.0,1.0,1.0,3,181.286
180,1000,647.9454545454546,753.0,1.0,1.0,1.0,2,191.458
190,1000,660.1454545454545,794.0,1.0,1.0,1.0,3,202.917
200,1000,682.5272727272727,798.0,1.0,1.0,1.0,2,212.921
210,1000,704.4909090909091,831.0,1.0,1.0,1.0,2,222.828
220,1000,748.8,895.0,1.0,1.0,1.0,2,233.509
230,1000,724.5272727272727,940.0,1.0,1.0,1.0,3,244.384
240,1000,825.4727272727273,995.0,1.0,1.0,1.0,2,255.96
250,1000,832.7454545454545,1020.0,1.0,1.0,1.0,2,265.75
260,1000,815.3454545454546,998.0,1.0,1.0,1.0,2,276.885
270,1000,754.4,1034.0,1.0,1.0,1.0,2,287.239
280,1000,911.3818181818182,1113.0,1.0,1.0,1.0,3,298.552
290,1000,971.7636363636364,1156.0,1.0,1.0,1.0,2,308.662
300,1000,1001.290909090909,1174.0,1.0,1.0,1.0,2,319.209
310,1000,1041.3272727272727,1198.0,1.0,1.0,1.0,2,330.164
320,1000,954.8,1231.0,1.0,1.0,1.0,3,340.301
330,1000,1080.8181818181818,1248.0,1.0,1.0,1.0,3,350.939
340,1000,1083.290909090909,1251.0,1.0,1.0,1.0,3,361.714
350,1000,1151.7272727272727,1301.0,1.0,1.0,1.0,2,372.747
360,1000,1196.4,1357.0,1.0,1.0,1.0,3,383.782
370,1000,1166.509090909091,1386.0,1.0,1.0,1.0,2,393.962
380,1000,1126.3272727272727,1396.0,1.0,1.0,1.0,2,404.676
390,1000,1199.5454545454545,1422.0,1.0,1.0,1.0,2,415.006
400,1000,1247.5636363636363,1484.0,1.0,1.0,1.0,2,425.349
410,1000,1224.709090909091,1509.0,1.0,1.0,1.0,2,435.932
420,1000,1091.6909090909091,1480.0,1.0,1.0,1.0,4,446.138
430,1000,1312.9272727272728,1542.0,1.0,1.0,1.0,2,457.472
440,1000,1332.509090909091,1599.0,1.0,1.0,1.0,3,468.238
450,1000,1304.4363636363637,1593.0,1.0,1.0,1.0,2,478.741
460,1000,1401.9636363636364,1656.0,1.0,1.0,1.0,3,488.754
470,1000,1218.8727272727272,1685.0,1.0,1.0,1.0,3,499.685
480,1000,1421.6727272727273,1709.0,1.0,1.0,1.0,4,510.151
490,1000,1435.4727272727273,1700.0,1.0,1.0,1.0,2,520.878
500,1000,1499.0,1726.0,1.0,1.0,1.0,2,531.185
510,1000,1560.290909090909,1813.0,1.0,1.0,1.0,2,542.012
520,1000,1513.0727272727272,1830.0,1.0,1.0,1.0,2,553.355
530,1000,1539.1818181818182,1873.0,1.0,1.0,1.0,3,562.629
540,1000,1679.8181818181818,1899.0,1.0,1.0,1.0,2,573.767
550,1000,1706.090909090909,1943.0,1.0,1.0,1.0,2,584.695
560,1000,1680.6,1961.0,1.0,1.0,1.0,3,594.481
570,1000,1636.6727272727273,2002.0,1.0,1.0,1.0,2,604.367
580,1000,1558.3636363636363,1985.0,1.0,1.0,1.0,2,615.812
590,1000,1646.3818181818183,2026.0,1.0,1.0,1.0,2,626.891
