generation,population_size,mean_diversity,max_diversity,min_fitness,mean_fitness,max_fitness,max_frequency,mean_distance
10,1000,6.0,9.0,1.0,1.0,1.0,73,2.671
20,1000,6.872727272727273,15.0,1.0,1.0,1.0,9,5.561
30,1000,15.563636363636364,25.0,1.0,1.0,1.0,9,8.4
40,1000,17.4,25.0,1.0,1.0,1.0,9,11.298
50,1000,25.12727272727273,36.0,1.0,1.0,1.0,11,14.172
60,1000,26.327272727272728,37.0,1.0,1.0,1.0,8,16.865
70,1000,37.054545454545455,47.0,1.0,1.0,1.0,9,20.054
80,1000,43.018181818181816,53.0,1.0,1.0,1.0,8,22.573
90,1000,48.58181818181818,64.0,1.0,1.0,1.0,11,25.522
100,1000,52.836363636363636,66.0,1.0,1.0,1.0,10,27.497
110,1000,57.981818181818184,77.0,1.0,1.0,1.0,15,30.104
120,1000,57.8,81.0,1.0,1.0,1.0,9,32.771
130,1000,69.7090909090909,87.0,1.0,1.0,1.0,10,35.361
140,1000,69.72727272727273,84.0,1.0,1.0,1.0,11,38.469
150,1000,72.94545454545455,91.0,1.0,1.0,1.0,12,41.041
160,1000,72.23636363636363,90.0,1.0,1.0,1.0,11,43.976
170,1000,73.69090909090909,102.0,1.0,1.0,1.0,12,46.526
180,1000,87.43636363636364,99.0,1.0,1.0,1.0,10,48.786
190,1000,93.63636363636364,114.0,1.0,1.0,1.0,9,51.987
200,1000,90.7090909090909,114.0,1.0,1.0,1.0,9,54.648
210,1000,102.61818181818182,132.0,1.0,1.0,1.0,11,57.09
220,1000,106.45454545454545,131.0,1.0,1.0,1.0,12,60.387
230,1000,109.92727272727272,142.0,1.0,1.0,1.0,15,63.209
240,1000,112.85454545454546,145.0,1.0,1.0,1.0,9,66.04
250,1000,124.67272727272727,153.0,1.0,1.0,1.0,11,68.969
260,1000,112.9090909090909,143.0,1.0,1.0,1.0,11,71.979
270,1000,119.98181818181818,148.0,1.0,1.0,1.0,15,74.683
280,1000,120.2,153.0,1.0,1.0,1.0,10,76.326
290,1000,119.83636363636364,169.0,1.0,1.0,1.0,10,79.312
300,1000,120.0909090909091,173.0,1.0,1.0,1.0,7,82.149
310,1000,140.01818181818183,183.0,1.0,1.0,1.0,11,85.109
320,1000,147.87272727272727,182.0,1.0,1.0,1.0,8,87.777
330,1000,138.03636363636363,195.0,1.0,1.0,1.0,11,91.15
340,1000,151.74545454545455,191.0,1.0,1.0,1.0,9,93.378
350,1000,163.9090909090909,213.0,1.0,1.0,1.0,9,95.812
360,1000,141.27272727272728,199.0,1.0,1.0,1.0,8,99.375
370,1000,161.9090909090909,215.0,1.0,1.0,1.0,13,101.816
380,1000,110.85454545454546,169.0,1.0,1.0,1.0,10,104.782
390,1000,142.16363636363636,222.0,1.0,1.0,1.0,9,106.431
400,1000,144.0,219.0,1.0,1.0,1.0,11,110.114
410,1000,164.12727272727273,235.0,1.0,1.0,1.0,10,112.828
420,1000,139.6,224.0,1.0,1.0,1.0,12,115.507
430,1000,160.25454545454545,241.0,1.0,1.0,1.0,11,117.855
440,1000,140.8,245.0,1.0,1.0,1.0,11,121.125
450,1000,146.43636363636364,238.0,1.0,1.0,1.0,11,123.689
460,1000,134.0,188.0,1.0,1.0,1.0,10,126.147
470,1000,142.21818181818182,266.0,1.0,1.0,1.0,8,129.078
480,1000,172.94545454545454,271.0,1.0,1.0,1.0,10,131.949
490,1000,161.47272727272727,240.0,1.0,1.0,1.0,10,134.827
500,1000,173.61818181818182,241.0,1.0,1.0,1.0,10,137.827
510,1000,184.07272727272726,269.0,1.0,1.0,1.0,10,140.385
520,1000,145.3272727272727,230.0,1.0,1.0,1.0,8,142.376
530,1000,196.76363636363635,257.0,1.0,1.0,1.0,12,145.849
540,1000,176.70909090909092,227.0,1.0,1.0,1.0,10,148.605
550,1000,201.76363636363635,290.0,1.0,1.0,1.0,9,151.549
560,1000,179.1818181818182,254.0,1.0,1.0,1.0,8,154.631
570,1000,203.87272727272727,277.0,1.0,1.0,1.0,11,156.843
580,1000,212.72727272727272,292.0,1.0,1.0,1.0,11,159.653
590,1000,208.94545454545454,292.0,1.0,1.0,1.0,7,162.921
600,1000,192.07272727272726,298.0,1.0,1.0,1.0,10,164.71
610,1000,224.9090909090909,307.0,1.0,1.0,1.0,10,167.237
620,1000,211.4909090909091,292.0,1.0,1.0,1.0,12,169.486
630,1000,194.94545454545454,259.0,1.0,1.0,1.0,10,172.999
640,1000,201.85454545454544,268.0,1.0,1.0,1.0,11,175.88
650,1000,184.29090909090908,255.0,1.0,1.0,1.0,9,177.607
660,1000,219.8,294.0,1.0,1.0,1.0,8,181.468
670,1000,203.8181818181818,282.0,1.0,1.0,1.0,15,184.464
680,1000,209.16363636363636,282.0,1.0,1.0,1.0,11,187.124
690,1000,192.92727272727274,281.0,1.0,1.0,1.0,10,190.241
700,1000,208.14545454545456,292.0,1.0,1.0,1.0,12,191.577
710,1000,232.25454545454545,333.0,1.0,1.0,1.0,12,195.062
720,1000,221.16363636363636,309.0,1.0,1.0,1.0,13,197.759
730,1000,188.34545454545454,290.0,1.0,1.0,1.0,17,200.468
740,1000,209.38181818181818,299.0,1.0,1.0,1.0,10,203.513
750,1000,228.25454545454545,318.0,1.0,1.0,1.0,10,205.668
760,1000,250.27272727272728,356.0,1.0,1.0,1.0,8,208.474
770,1000,164.25454545454545,315.0,1.0,1.0,1.0,9,212.242
780,1000,234.56363636363636,325.0,1.0,1.0,1.0,11,214.471
790,1000,222.96363636363637,331.0,1.0,1.0,1.0,10,216.988
800,1000,206.9090909090909,333.0,1.0,1.0,1.0,9,219.74
810,1000,229.6,345.0,1.0,1.0,1.0,9,222.81
820,1000,227.85454545454544,355.0,1.0,1.0,1.0,9,224.845
830,1000,234.03636363636363,360.0,1.0,1.0,1.0,13,228.18
840,1000,159.74545454545455,295.0,1.0,1.0,1.0,9,232.333
850,1000,193.03636363636363,304.0,1.0,1.0,1.0,10,234.47
860,1000,214.29090909090908,368.0,1.0,1.0,1.0,12,237.307
870,1000,234.6909090909091,365.0,1.0,1.0,1.0,9,238.807
880,1000,180.16363636363636,284.0,1.0,1.0,1.0,11,241.617
890,1000,252.29090909090908,368.0,1.0,1.0,1.0,15,244.469
900,1000,185.1090909090909,313.0,1.0,1.0,1.0,10,248.047
910,1000,242.70909090909092,397.0,1.0,1.0,1.0,13,250.505
920,1000,203.1818181818182,332.0,1.0,1.0,1.0,12,253.365
930,1000,283.8909090909091,400.0,1.0,1.0,1.0,11,256.512
940,1000,240.8181818181818,374.0,1.0,1.0,1.0,10,258.181
950,1000,307.2181818181818,431.0,1.0,1.0,1.0,11,261.447
960,1000,226.98181818181817,391.0,1.0,1.0,1.0,13,264.404
970,1000,217.83636363636364,383.0,1.0,1.0,1.0,11,267.744
980,1000,252.96363636363637,371.0,1.0,1.0,1.0,8,269.75
990,1000,254.07272727272726,397.0,1.0,1.0,1.0,8,272.905
